,Dataset,ExpType,QuaMethod,Classifier,QFY,MA,KFMA,best_method
0,energy,TOMS,DyS,LR,0.26257625422529024,,,QFY
1,energy,TOMS,DyS,RF,0.13686733353755184,,,QFY
2,energy,TOMS,ACC,LR,0.24142325833974537,,,QFY
3,energy,TOMS,ACC,RF,0.17113269402600012,,,QFY
4,energy,original,DyS,LR,0.26396408882661576,0.2214857434485174,0.20462404242607088,KFMA
5,energy,original,DyS,RF,0.25539125532854934,0.22460208628237496,0.1834632838224056,KFMA
6,energy,original,ACC,LR,0.3198193755576497,0.30230829743851695,0.29295009823855883,KFMA
7,energy,original,ACC,RF,0.31201962518399234,0.24944186757678455,0.17587775969160843,KFMA
