window_index,t_window,split,n_samples,score_-1,score_0,score_1
66,1459468800.0,test,144,0.14044813453508603,0.678249197978798,0.18130266748611584
67,1459555200.0,test,144,0.10956126949016078,0.6818933194573917,0.2085454110524475
68,1459641600.0,test,144,0.11144890845308793,0.6454198386223186,0.2431312529245936
69,1459728000.0,test,144,0.13159479730776594,0.7194464816083342,0.14895872108389974
70,1459814400.0,test,144,0.18989853994692393,0.5801265858237626,0.22997487422931345
71,1459900800.0,test,144,0.18425096112191758,0.5867739285318041,0.22897511034627832
72,1459987200.0,test,144,0.2145749106534537,0.5342158010473143,0.25120928829923217
73,1460073600.0,test,144,0.1514586163338644,0.6492085874830108,0.19933279618312483
74,1460160000.0,test,144,0.29551343783989587,0.5097365034976915,0.19475005866241257
75,1460246400.0,test,144,0.13018303091013053,0.617663321608627,0.2521536474812424
76,1460332800.0,test,144,0.10277303858167232,0.7400722661955561,0.1571546952227717
77,1460419200.0,test,144,0.12572362530707734,0.668589842876296,0.20568653181662677
78,1460505600.0,test,144,0.1308238592563753,0.645134841240576,0.2240412995030488
79,1460592000.0,test,144,0.5956440173054374,0.2810893705518834,0.12326661214267928
80,1460678400.0,test,144,0.12533496165745642,0.6624671567330525,0.21219788160949116
81,1460764800.0,test,144,0.13515445329922557,0.6802708584273277,0.18457468827344675
82,1460851200.0,test,144,0.393389724585565,0.44374671610593186,0.1628635593085033
83,1460937600.0,test,144,0.008095908092117594,0.4898088683295148,0.5020952235783677
84,1461024000.0,test,144,0.13950934151239075,0.7014701307668958,0.15902052772071357
85,1461110400.0,test,144,0.18498768233046087,0.6295546534886396,0.1854576641808996
86,1461196800.0,test,144,0.07925494075959796,0.8076521040249954,0.11309295521540653
87,1461283200.0,test,144,0.05485416327020976,0.8538522793753656,0.09129355735442482
88,1461369600.0,test,144,0.07542334883306158,0.7647755701716878,0.15980108099525042
89,1461456000.0,test,144,0.22133481034288033,0.6368101201794121,0.1418550694777076
90,1461542400.0,test,144,0.171092621323369,0.6646347549082697,0.16427262376836138
91,1461628800.0,test,144,0.04160905152984888,0.5962254245990278,0.3621655238711233
92,1461715200.0,test,144,0.27519850051903266,0.5423852327330632,0.18241626674790418
93,1461801600.0,test,144,0.006504658398311862,0.41233766695031193,0.5811576746513762
94,1461888000.0,test,144,0.21582498029539465,0.620873636958754,0.16330138274585135
95,1461974400.0,test,144,0.16722182670604113,0.6511859745654595,0.18159219872849947
96,1462060800.0,test,144,0.251795559641896,0.5549838052292125,0.19322063512889148
97,1462147200.0,test,144,0.1870339370492639,0.6964810456924859,0.11648501725825028
98,1462233600.0,test,144,0.04413177643127577,0.8092882743542368,0.1465799492144874
99,1462320000.0,test,144,0.10937743553715822,0.77596556725358,0.11465699720926181
100,1462406400.0,test,144,0.05910834872017831,0.8589427731015845,0.08194887817823719
101,1462492800.0,test,144,0.03163417774710113,0.8900895880993652,0.07827623415353362
102,1462579200.0,test,144,0.016842717470684748,0.8643621661067389,0.11879511642257645
103,1462665600.0,test,144,0.007954873398406613,0.8891777972212443,0.10286732938034902
104,1462752000.0,test,144,0.007978668845909018,0.9394471190422435,0.05257421211184751
105,1462838400.0,test,144,0.011794331358489115,0.9011764143446668,0.08702925429684402
106,1462924800.0,test,144,0.04648221003294195,0.8103775222859713,0.14314026768108679
107,1463011200.0,test,144,0.036752599844003954,0.7685830288856851,0.19466437127031092
108,1463097600.0,test,144,0.06110602990351135,0.7718610238480939,0.1670329462483949
109,1463184000.0,test,144,0.02826683211036464,0.8452893891390947,0.12644377875054064
110,1463270400.0,test,144,0.02695597001679494,0.8594185921888685,0.1136254377943364
111,1463356800.0,test,144,0.01660731710041893,0.773565148466051,0.2098275344335302
112,1463443200.0,test,144,0.029711442554613752,0.8411400342683858,0.12914852317700037
113,1463529600.0,test,144,0.039049632751794836,0.8236712222809199,0.13727914496728527
114,1463616000.0,test,144,0.07909674665848772,0.7430537012505484,0.1778495520909639
115,1463702400.0,test,144,0.045832682354179664,0.7661080236278677,0.18805929401795274
116,1463788800.0,test,144,0.07672995320512455,0.7476658651575638,0.17560418163731162
117,1463875200.0,test,144,0.01847363134579982,0.8725177816138705,0.10900858704032966
118,1463961600.0,test,144,0.12561834641214786,0.7143477056519101,0.1600339479359421
119,1464048000.0,test,144,0.08634285616486218,0.7511111102351722,0.16254603359996558
120,1464134400.0,test,144,0.08568076822613596,0.8012537566334248,0.11306547514043919
121,1464220800.0,test,144,0.0045650808181792605,0.8799599909108343,0.11547492827098639
122,1464307200.0,test,109,0.004128164886444942,0.8573249411788846,0.13854689393467068
