window_index,t_window,split,n_samples,score_-1,score_0,score_1
0,1453766400.0,val,144,0.010552054112681054,0.42647376337842463,0.5629741825088943
1,1453852800.0,val,144,0.011794769911982165,0.3616316848225835,0.6265735452654342
2,1453939200.0,val,144,0.6052757610023833,0.2455614540065613,0.14916278499105534
3,1454025600.0,val,144,0.8537567605383343,0.07980152258695697,0.06644171687470861
4,1454112000.0,val,144,0.6891238949544756,0.20846812105855103,0.10240798398697333
5,1454198400.0,val,144,0.7322130016558381,0.18167686181386714,0.08611013653029474
6,1454284800.0,val,144,0.02229911822132219,0.4636604141054687,0.5140404676732091
7,1454371200.0,val,144,0.008394918939732097,0.5131741741113871,0.47843090694888074
8,1454457600.0,val,144,0.003642541905843424,0.29488529261827323,0.7014721654758833
9,1454544000.0,val,144,0.48935688556150453,0.3475875904305575,0.16305552400793802
10,1454630400.0,val,144,0.01143712183434928,0.3827002021123699,0.6058626760532808
11,1454716800.0,val,144,0.48735481832764055,0.3868503701495174,0.12579481152284216
12,1454803200.0,val,144,0.43552863977691714,0.44367897502436915,0.1207923851987139
13,1454889600.0,val,144,0.0037987667824374584,0.29368110990323665,0.7025201233143259
14,1454976000.0,val,144,0.3149022222528579,0.486417146955121,0.1986806307920211
15,1455062400.0,test,144,0.456754847007614,0.3743030982025794,0.16894205478980664
16,1455148800.0,test,144,0.0013246070169534406,0.28778893286261964,0.7108864601204269
17,1455235200.0,test,144,0.4176617924849502,0.3945453192854375,0.18779288822961215
18,1455321600.0,test,144,0.2597921425532716,0.4307588396392489,0.3094490178074795
19,1455408000.0,test,144,0.086899077200745,0.4701166435284789,0.4429842792707762
20,1455494400.0,test,144,0.36218727659198807,0.3124191776460006,0.32539354576201124
21,1455580800.0,test,144,0.0029614467164384476,0.2791378559288463,0.7179006973547153
22,1455667200.0,test,144,0.42865262748295624,0.418846764280781,0.1525006082362628
23,1455753600.0,test,144,0.39477831813927977,0.445075773849963,0.16014590801075723
24,1455840000.0,test,144,0.3058270981284319,0.4313714783540331,0.2628014235175349
25,1455926400.0,test,144,0.21920032734372022,0.5262077632557328,0.25459190940054693
26,1456012800.0,test,144,0.18187425623825434,0.556986137944552,0.2611396058171937
27,1456099200.0,test,144,0.010201435575410546,0.49589633553032103,0.4939022288942685
28,1456185600.0,test,144,0.023134631692330165,0.5393147463214724,0.4375506219861975
29,1456272000.0,test,144,0.51385593683714,0.2547953875493605,0.2313486756134995
30,1456358400.0,test,144,0.014406950008104729,0.4318177354954809,0.5537753144964145
31,1456444800.0,test,144,0.18951828668052478,0.6027712690519963,0.207710444267479
32,1456531200.0,test,144,0.36162601188878885,0.41481746086441856,0.22355652724679262
33,1456617600.0,test,144,0.40753448253543456,0.43540154248277557,0.1570639749817898
34,1456704000.0,test,144,0.3289944884066674,0.48968920468704696,0.18131630690628564
35,1456790400.0,test,144,0.011797719679581549,0.5617525144938493,0.42644976582656896
36,1456876800.0,test,144,0.026162398128262675,0.47080280146513476,0.5030348004066025
37,1456963200.0,test,144,0.26216545050943324,0.4878453379673576,0.24998921152320916
38,1457049600.0,test,144,0.05363536089901989,0.5299346784480126,0.4164299606529675
39,1457136000.0,test,144,0.3326272130885208,0.47711066159854343,0.19026212531293585
40,1457222400.0,test,144,0.22599288621159136,0.43722690290491045,0.33678021088349813
41,1457308800.0,test,144,0.011173350780251669,0.3004722808564538,0.6883543683632946
42,1457395200.0,test,144,0.001235840783057633,0.3222571716117769,0.6765069876051655
43,1457481600.0,test,144,0.3769309211899678,0.44266414006505406,0.18040493874497812
44,1457568000.0,test,144,0.010347964710022445,0.45712259340922917,0.5325294418807482
45,1457654400.0,test,144,0.3440320115632553,0.5069036368084515,0.1490643516282933
46,1457740800.0,test,144,0.26198870064169416,0.5557070294248861,0.1823042699334197
47,1457827200.0,test,144,0.2518911379423394,0.5689651790217929,0.17914368303586772
48,1457913600.0,test,144,0.17597114139879053,0.6343884167139899,0.18964044188721962
49,1458000000.0,test,144,0.10110291353498463,0.5727843786227372,0.3261127078422782
50,1458086400.0,test,144,0.008093687816337491,0.38949095432386305,0.6024153578597994
51,1458172800.0,test,144,0.3336754538420382,0.5091486371918011,0.15717590896616065
52,1458259200.0,test,144,0.08079645396794319,0.6746710384691705,0.2445325075628863
53,1458345600.0,test,144,0.10420402861213568,0.7055952990454404,0.19020067234242388
54,1458432000.0,test,144,0.14847260010395547,0.6407493048072487,0.210778095088796
55,1458518400.0,test,144,0.09218053764891126,0.7253551210240858,0.18246434132700287
56,1458604800.0,test,144,0.00043005228729764883,0.5456345454752973,0.4539354022374051
57,1458691200.0,test,144,0.091479449204046,0.7255873687261772,0.18293318206977677
58,1458777600.0,test,144,0.1726724663866939,0.6496561610226839,0.17767137259062216
59,1458864000.0,test,144,0.15055258608980474,0.640173545450846,0.20927386845934928
60,1458950400.0,test,144,0.4028587929488968,0.4322242487798974,0.1649169582712058
61,1459036800.0,test,144,0.11260749179110018,0.7657320102982036,0.1216604979106963
62,1459123200.0,test,144,0.14744175040022559,0.6780918616525364,0.17446638794723784
63,1459209600.0,test,144,0.1278251267852826,0.6857823207627766,0.1863925524519409
64,1459296000.0,test,144,0.0003336240209213099,0.38113961441880667,0.618526761560272
65,1459382400.0,test,144,0.15142474910065593,0.6327646581839484,0.2158105927153956
