window_index,split,n_samples,score_-1,score_0,score_1
0,val,4495,0.36328598856925964,0.5011925101280212,0.1355215162038803
1,val,4495,0.35940250754356384,0.5026686787605286,0.1379288285970688
2,val,4495,0.3563046157360077,0.5040581822395325,0.13963720202445984
3,val,4495,0.35059159994125366,0.5069253444671631,0.14248310029506683
4,val,4495,0.34902018308639526,0.5103313326835632,0.1406484693288803
5,val,4495,0.34521928429603577,0.5124969482421875,0.14228370785713196
6,val,4495,0.343676894903183,0.5121029019355774,0.14422017335891724
7,val,4495,0.3481830358505249,0.5075215697288513,0.144295334815979
8,val,4495,0.34622734785079956,0.5059261918067932,0.14784649014472961
9,val,4495,0.3477894067764282,0.5014608502388,0.1507498323917389
10,val,4495,0.3499080538749695,0.5000059604644775,0.15008600056171417
11,val,4495,0.3497335612773895,0.5009374618530273,0.14932897686958313
12,val,4495,0.34888431429862976,0.5000838041305542,0.15103188157081604
13,val,4495,0.3511603772640228,0.49873268604278564,0.15010689198970795
14,val,4495,0.3548770248889923,0.4964078962802887,0.1487150639295578
15,test,4495,0.356528639793396,0.49366137385368347,0.1498100310564041
16,test,4495,0.3567184507846832,0.49158093333244324,0.15170063078403473
17,test,4495,0.35118338465690613,0.49442750215530396,0.15438908338546753
18,test,4495,0.35719478130340576,0.48842984437942505,0.15437541902065277
19,test,4495,0.3595918118953705,0.48906999826431274,0.1513381451368332
20,test,4495,0.3605080246925354,0.48785075545310974,0.15164123475551605
21,test,4495,0.3656165897846222,0.4831395745277405,0.15124383568763733
22,test,4495,0.3698503375053406,0.47928866744041443,0.15086103975772858
23,test,4495,0.3733459413051605,0.4748258590698242,0.15182822942733765
24,test,4495,0.37790295481681824,0.46935543417930603,0.15274159610271454
25,test,4495,0.3765675127506256,0.4718185067176819,0.15161393582820892
26,test,4495,0.37599578499794006,0.47241324186325073,0.15159092843532562
27,test,4495,0.37654536962509155,0.4725344181060791,0.15092019736766815
28,test,4495,0.37160778045654297,0.47793787717819214,0.15045437216758728
29,test,4495,0.36501896381378174,0.4764429032802582,0.15853816270828247
30,test,4495,0.36545228958129883,0.4740672707557678,0.16048046946525574
31,test,4495,0.36187583208084106,0.47599121928215027,0.16213296353816986
