timestamp,label
2014-12-01 19:30:03+00:00,-1
2014-12-01 19:43:51+00:00,-1
2014-12-01 19:50:28+00:00,-1
2014-12-01 20:26:34+00:00,-1
2014-12-01 20:29:33+00:00,-1
2014-12-01 20:30:03+00:00,-1
2014-12-01 20:32:45+00:00,1
2014-12-01 20:34:31+00:00,1
2014-12-01 20:36:47+00:00,-1
2014-12-01 20:45:03+00:00,-1
2014-12-01 20:46:01+00:00,0
2014-12-01 20:47:12+00:00,-1
2014-12-01 21:00:15+00:00,-1
2014-12-01 21:03:32+00:00,1
2014-12-01 21:09:50+00:00,0
2014-12-01 21:29:45+00:00,-1
2014-12-01 21:35:14+00:00,0
2014-12-01 21:53:12+00:00,-1
2014-12-01 22:22:09+00:00,-1
2014-12-01 23:12:40+00:00,-1
2014-12-01 23:43:14+00:00,-1
2014-12-01 23:55:55+00:00,0
2014-12-02 00:06:05+00:00,0
2014-12-02 00:14:25+00:00,0
2014-12-02 00:15:11+00:00,0
2014-12-02 00:15:14+00:00,-1
2014-12-02 00:15:16+00:00,1
2014-12-02 00:15:26+00:00,-1
2014-12-02 00:16:03+00:00,-1
2014-12-02 00:16:04+00:00,-1
2014-12-02 00:16:27+00:00,-1
2014-12-02 00:17:02+00:00,1
2014-12-02 00:18:59+00:00,-1
2014-12-02 00:22:26+00:00,-1
2014-12-02 00:22:31+00:00,-1
2014-12-02 00:23:47+00:00,-1
2014-12-02 00:24:26+00:00,-1
2014-12-02 00:24:47+00:00,0
2014-12-02 00:25:38+00:00,-1
2014-12-02 00:27:23+00:00,0
2014-12-02 00:27:36+00:00,-1
2014-12-02 00:28:38+00:00,0
2014-12-02 00:29:58+00:00,0
2014-12-02 00:31:26+00:00,-1
2014-12-02 00:32:42+00:00,0
2014-12-02 00:34:51+00:00,0
2014-12-02 00:38:41+00:00,0
2014-12-02 00:39:47+00:00,-1
2014-12-02 00:39:51+00:00,-1
2014-12-02 00:45:03+00:00,0
2014-12-02 00:45:22+00:00,-1
2014-12-02 00:47:23+00:00,-1
2014-12-02 00:47:46+00:00,-1
2014-12-02 00:51:10+00:00,-1
2014-12-02 00:53:22+00:00,-1
2014-12-02 00:53:58+00:00,0
2014-12-02 00:54:31+00:00,-1
2014-12-02 00:56:11+00:00,0
2014-12-02 00:56:43+00:00,-1
2014-12-02 00:59:49+00:00,-1
2014-12-02 01:04:41+00:00,-1
2014-12-02 01:05:37+00:00,0
2014-12-02 01:06:42+00:00,0
2014-12-02 01:06:58+00:00,-1
2014-12-02 01:07:53+00:00,-1
2014-12-02 01:09:53+00:00,-1
2014-12-02 01:11:43+00:00,1
2014-12-02 01:13:03+00:00,0
2014-12-02 01:15:12+00:00,0
2014-12-02 01:17:55+00:00,-1
2014-12-02 01:22:40+00:00,-1
2014-12-02 01:25:49+00:00,0
2014-12-02 01:36:18+00:00,0
2014-12-02 01:40:38+00:00,0
2014-12-02 01:44:36+00:00,-1
2014-12-02 01:45:03+00:00,-1
2014-12-02 01:47:52+00:00,-1
2014-12-02 01:49:00+00:00,0
2014-12-02 01:52:00+00:00,0
2014-12-02 01:52:18+00:00,-1
2014-12-02 01:53:41+00:00,0
2014-12-02 01:58:06+00:00,-1
2014-12-02 02:00:04+00:00,-1
2014-12-02 02:00:59+00:00,0
2014-12-02 02:03:46+00:00,0
2014-12-02 02:04:40+00:00,0
2014-12-02 02:09:56+00:00,0
2014-12-02 02:10:38+00:00,0
2014-12-02 02:14:37+00:00,-1
2014-12-02 02:14:56+00:00,-1
2014-12-02 02:16:00+00:00,1
2014-12-02 02:16:19+00:00,0
2014-12-02 02:25:30+00:00,-1
2014-12-02 02:27:54+00:00,-1
2014-12-02 02:38:28+00:00,1
2014-12-02 02:56:02+00:00,0
2014-12-02 02:56:56+00:00,-1
2014-12-02 02:56:57+00:00,0
2014-12-02 03:00:07+00:00,0
2014-12-02 03:00:29+00:00,1
2014-12-02 03:01:44+00:00,-1
2014-12-02 03:05:07+00:00,-1
2014-12-02 03:05:32+00:00,-1
2014-12-02 03:09:32+00:00,-1
2014-12-02 03:09:39+00:00,0
2014-12-02 03:13:14+00:00,-1
2014-12-02 03:15:03+00:00,-1
2014-12-02 03:28:00+00:00,0
2014-12-02 03:30:02+00:00,-1
2014-12-02 03:31:46+00:00,-1
2014-12-02 03:42:08+00:00,-1
2014-12-02 03:49:22+00:00,-1
2014-12-02 03:49:34+00:00,0
2014-12-02 03:52:46+00:00,-1
2014-12-02 03:52:58+00:00,0
2014-12-02 03:57:07+00:00,-1
2014-12-02 03:58:50+00:00,1
2014-12-02 04:00:59+00:00,1
2014-12-02 04:07:57+00:00,0
2014-12-02 04:08:21+00:00,1
2014-12-02 04:09:46+00:00,0
2014-12-02 04:11:56+00:00,-1
2014-12-02 04:12:53+00:00,-1
2014-12-02 04:21:29+00:00,-1
2014-12-02 04:24:00+00:00,0
2014-12-02 04:30:03+00:00,-1
2014-12-02 04:30:31+00:00,0
2014-12-02 04:33:28+00:00,0
2014-12-02 04:34:05+00:00,0
2014-12-02 04:35:14+00:00,-1
2014-12-02 04:36:38+00:00,0
2014-12-02 04:37:44+00:00,0
2014-12-02 04:38:57+00:00,-1
2014-12-02 04:41:05+00:00,-1
2014-12-02 04:48:00+00:00,-1
2014-12-02 04:53:24+00:00,-1
2014-12-02 04:54:14+00:00,0
2014-12-02 05:00:08+00:00,0
2014-12-02 05:03:26+00:00,0
2014-12-02 05:06:09+00:00,0
2014-12-02 05:06:55+00:00,0
2014-12-02 05:07:11+00:00,-1
2014-12-02 05:07:30+00:00,0
2014-12-02 05:11:58+00:00,0
2014-12-02 05:13:02+00:00,0
2014-12-02 05:14:39+00:00,1
2014-12-02 05:16:00+00:00,-1
2014-12-02 05:20:58+00:00,0
2014-12-02 05:25:24+00:00,0
2014-12-02 05:35:04+00:00,1
2014-12-02 05:37:33+00:00,1
2014-12-02 05:40:45+00:00,1
