year_month,n_reviews,n_days_with_reviews,min_daily_n,max_daily_n,median_daily_n,mean_daily_n
2024-01,32,19,1,3,2.0,1.6842105263157894
2024-02,30,18,1,3,1.5,1.6666666666666667
2024-03,39,20,1,3,2.0,1.95
2024-04,20,14,1,4,1.0,1.4285714285714286
2024-05,32,18,1,5,1.5,1.7777777777777777
2024-06,21,18,1,2,1.0,1.1666666666666667
2024-07,35,20,1,6,1.0,1.75
2024-08,29,19,1,3,1.0,1.5263157894736843
2024-09,14,11,1,3,1.0,1.2727272727272727
2024-10,32,19,1,4,2.0,1.6842105263157894
2024-11,26,16,1,4,1.0,1.625
2024-12,20,13,1,3,1.0,1.5384615384615385
2025-01,41,21,1,5,2.0,1.9523809523809523
2025-02,49,24,1,6,1.5,2.0416666666666665
2025-03,46,24,1,5,2.0,1.9166666666666667
2025-04,55,22,1,5,2.0,2.5
2025-05,94,29,1,7,3.0,3.2413793103448274
2025-06,83,27,1,6,3.0,3.074074074074074
2025-07,75,26,1,6,3.0,2.8846153846153846
2025-08,116,31,1,9,3.0,3.7419354838709675
2025-09,101,27,1,8,3.0,3.740740740740741
2025-10,78,27,1,6,2.0,2.888888888888889
2025-11,73,26,1,5,3.0,2.8076923076923075
2025-12,43,22,1,4,2.0,1.9545454545454546
2026-01,33,21,1,3,1.0,1.5714285714285714
2026-02,38,19,1,4,2.0,2.0
2026-03,27,18,1,3,1.0,1.5
