iso_week,week_start_utc_monday,n_reviews,n_days_with_reviews,min_daily_n,max_daily_n,median_daily_n,mean_daily_n
2024-W01,2024-01-01,29,7,2,9,4.0,4.142857142857143
2024-W02,2024-01-08,27,7,2,8,3.0,3.857142857142857
2024-W03,2024-01-15,20,6,2,6,3.0,3.3333333333333335
2024-W04,2024-01-22,15,6,1,4,3.0,2.5
2024-W05,2024-01-29,17,6,1,6,2.5,2.8333333333333335
2024-W06,2024-02-05,14,6,1,5,2.0,2.3333333333333335
2024-W07,2024-02-12,18,6,2,6,2.0,3.0
2024-W08,2024-02-19,8,5,1,3,1.0,1.6
2024-W09,2024-02-26,13,7,1,3,2.0,1.8571428571428572
2024-W10,2024-03-04,13,5,1,7,2.0,2.6
2024-W11,2024-03-11,11,5,1,3,3.0,2.2
2024-W12,2024-03-18,15,7,1,6,2.0,2.142857142857143
2024-W13,2024-03-25,20,5,1,12,2.0,4.0
2024-W14,2024-04-01,15,7,1,6,2.0,2.142857142857143
2024-W15,2024-04-08,20,7,1,5,3.0,2.857142857142857
2024-W16,2024-04-15,18,6,1,6,2.0,3.0
2024-W17,2024-04-22,24,7,1,9,2.0,3.4285714285714284
2024-W18,2024-04-29,20,7,1,6,2.0,2.857142857142857
2024-W19,2024-05-06,23,7,1,7,3.0,3.2857142857142856
2024-W20,2024-05-13,21,5,3,7,3.0,4.2
2024-W21,2024-05-20,15,5,2,5,3.0,3.0
2024-W22,2024-05-27,17,7,1,5,2.0,2.4285714285714284
2024-W23,2024-06-03,24,7,2,6,3.0,3.4285714285714284
2024-W24,2024-06-10,29,7,1,6,4.0,4.142857142857143
2024-W25,2024-06-17,47,7,2,15,6.0,6.714285714285714
2024-W26,2024-06-24,25,7,1,6,3.0,3.5714285714285716
2024-W27,2024-07-01,36,7,1,11,5.0,5.142857142857143
2024-W28,2024-07-08,37,7,3,9,5.0,5.285714285714286
2024-W29,2024-07-15,40,7,4,8,5.0,5.714285714285714
2024-W30,2024-07-22,48,7,2,12,6.0,6.857142857142857
2024-W31,2024-07-29,21,7,1,6,2.0,3.0
