iso_week,week_start_utc_monday,n_reviews,n_days_with_reviews,min_daily_n,max_daily_n,median_daily_n,mean_daily_n
2024-W32,2024-08-05,29,7,1,7,4.0,4.142857142857143
2024-W33,2024-08-12,28,7,2,8,3.0,4.0
2024-W34,2024-08-19,22,6,2,6,3.5,3.6666666666666665
2024-W35,2024-08-26,21,6,1,9,3.0,3.5
2024-W36,2024-09-02,25,7,2,8,3.0,3.5714285714285716
2024-W37,2024-09-09,24,7,1,5,3.0,3.4285714285714284
2024-W38,2024-09-16,17,5,1,5,4.0,3.4
2024-W39,2024-09-23,6,4,1,2,1.5,1.5
2024-W40,2024-09-30,25,7,1,10,2.0,3.5714285714285716
2024-W41,2024-10-07,37,7,2,9,6.0,5.285714285714286
2024-W42,2024-10-14,29,6,1,8,4.5,4.833333333333333
2024-W43,2024-10-21,28,5,1,9,6.0,5.6
2024-W44,2024-10-28,27,6,3,8,4.0,4.5
2024-W45,2024-11-04,15,6,1,4,2.5,2.5
2024-W46,2024-11-11,27,6,2,9,4.0,4.5
2024-W47,2024-11-18,24,7,1,7,3.0,3.4285714285714284
2024-W48,2024-11-25,10,5,1,3,2.0,2.0
2024-W49,2024-12-02,9,5,1,3,1.0,1.8
2024-W50,2024-12-09,15,6,1,6,2.0,2.5
2024-W51,2024-12-16,37,7,2,14,3.0,5.285714285714286
2024-W52,2024-12-23,16,7,1,4,2.0,2.2857142857142856
2025-W01,2024-12-30,16,7,1,3,2.0,2.2857142857142856
2025-W02,2025-01-06,16,7,1,4,2.0,2.2857142857142856
2025-W03,2025-01-13,24,7,1,6,3.0,3.4285714285714284
2025-W04,2025-01-20,16,7,1,4,2.0,2.2857142857142856
2025-W05,2025-01-27,23,7,2,5,3.0,3.2857142857142856
2025-W06,2025-02-03,19,7,1,5,3.0,2.7142857142857144
2025-W07,2025-02-10,18,6,1,5,3.5,3.0
2025-W08,2025-02-17,18,7,1,6,2.0,2.5714285714285716
2025-W09,2025-02-24,27,7,2,8,3.0,3.857142857142857
2025-W10,2025-03-03,21,7,1,6,2.0,3.0
2025-W11,2025-03-10,26,6,2,7,3.5,4.333333333333333
2025-W12,2025-03-17,22,7,1,4,4.0,3.142857142857143
2025-W13,2025-03-24,18,7,1,4,2.0,2.5714285714285716
2025-W14,2025-03-31,23,7,1,7,2.0,3.2857142857142856
2025-W15,2025-04-07,20,7,1,5,3.0,2.857142857142857
2025-W16,2025-04-14,25,7,1,7,4.0,3.5714285714285716
2025-W17,2025-04-21,21,7,1,6,3.0,3.0
2025-W18,2025-04-28,28,7,1,6,5.0,4.0
2025-W19,2025-05-05,18,7,1,4,3.0,2.5714285714285716
2025-W20,2025-05-12,21,6,1,5,4.0,3.5
2025-W21,2025-05-19,18,7,1,6,2.0,2.5714285714285716
2025-W22,2025-05-26,10,6,1,4,1.0,1.6666666666666667
2025-W23,2025-06-02,13,7,1,4,2.0,1.8571428571428572
2025-W24,2025-06-09,15,5,1,7,2.0,3.0
2025-W25,2025-06-16,19,6,1,4,4.0,3.1666666666666665
2025-W26,2025-06-23,24,6,1,10,4.0,4.0
2025-W27,2025-06-30,15,6,1,4,2.5,2.5
2025-W28,2025-07-07,22,6,1,7,3.5,3.6666666666666665
2025-W29,2025-07-14,26,7,1,6,3.0,3.7142857142857144
2025-W30,2025-07-21,38,7,2,7,6.0,5.428571428571429
2025-W31,2025-07-28,29,7,1,9,3.0,4.142857142857143
2025-W32,2025-08-04,19,5,1,6,4.0,3.8
2025-W33,2025-08-11,29,7,2,8,3.0,4.142857142857143
2025-W34,2025-08-18,23,5,2,9,4.0,4.6
2025-W35,2025-08-25,23,5,1,7,5.0,4.6
2025-W36,2025-09-01,23,6,1,6,4.0,3.8333333333333335
2025-W37,2025-09-08,31,7,1,7,5.0,4.428571428571429
2025-W38,2025-09-15,33,7,1,7,5.0,4.714285714285714
2025-W39,2025-09-22,24,7,1,6,3.0,3.4285714285714284
2025-W40,2025-09-29,21,6,1,9,2.5,3.5
2025-W41,2025-10-06,19,7,1,5,2.0,2.7142857142857144
2025-W42,2025-10-13,20,7,1,7,3.0,2.857142857142857
2025-W43,2025-10-20,25,7,1,8,3.0,3.5714285714285716
2025-W44,2025-10-27,29,7,1,6,4.0,4.142857142857143
2025-W45,2025-11-03,28,7,2,8,4.0,4.0
2025-W46,2025-11-10,26,7,2,7,3.0,3.7142857142857144
2025-W47,2025-11-17,14,6,1,5,1.5,2.3333333333333335
2025-W48,2025-11-24,22,6,1,9,3.0,3.6666666666666665
2025-W49,2025-12-01,28,7,3,7,4.0,4.0
2025-W50,2025-12-08,35,7,1,8,5.0,5.0
2025-W51,2025-12-15,28,7,1,6,5.0,4.0
2025-W52,2025-12-22,32,7,3,7,4.0,4.571428571428571
2026-W01,2025-12-29,44,7,2,10,7.0,6.285714285714286
2026-W02,2026-01-05,39,7,3,9,5.0,5.571428571428571
2026-W03,2026-01-12,16,6,1,4,3.0,2.6666666666666665
2026-W04,2026-01-19,21,7,1,5,3.0,3.0
2026-W05,2026-01-26,15,6,1,5,2.5,2.5
2026-W06,2026-02-02,29,7,3,7,3.0,4.142857142857143
2026-W07,2026-02-09,35,6,1,11,6.0,5.833333333333333
2026-W08,2026-02-16,26,7,1,7,3.0,3.7142857142857144
2026-W09,2026-02-23,49,7,5,11,6.0,7.0
2026-W10,2026-03-02,78,7,8,17,11.0,11.142857142857142
2026-W11,2026-03-09,44,7,1,14,7.0,6.285714285714286
2026-W12,2026-03-16,59,7,1,18,9.0,8.428571428571429
2026-W13,2026-03-23,3,1,3,3,3.0,3.0
