year_month,n_reviews,n_days_with_reviews,min_daily_n,max_daily_n,median_daily_n,mean_daily_n
2024-01,133,30,1,9,4.5,4.433333333333334
2024-02,91,27,1,7,3.0,3.3703703703703702
2024-03,111,29,1,8,3.0,3.8275862068965516
2024-04,110,28,1,8,3.5,3.9285714285714284
2024-05,123,31,1,11,3.0,3.967741935483871
2024-06,122,30,1,9,4.0,4.066666666666666
2024-07,133,30,1,11,4.0,4.433333333333334
2024-08,79,24,1,8,3.0,3.2916666666666665
2024-09,138,30,1,12,4.0,4.6
2024-10,164,31,1,12,5.0,5.290322580645161
2024-11,128,30,1,12,4.0,4.266666666666667
2024-12,135,31,1,13,4.0,4.354838709677419
2025-01,214,31,1,12,7.0,6.903225806451613
2025-02,158,28,1,15,5.0,5.642857142857143
2025-03,204,31,1,15,6.0,6.580645161290323
2025-04,150,30,1,11,5.0,5.0
2025-05,101,30,1,10,3.0,3.3666666666666667
2025-06,99,30,1,15,3.0,3.3
2025-07,157,29,1,16,5.0,5.413793103448276
2025-08,162,31,1,15,5.0,5.225806451612903
2025-09,269,30,2,20,7.5,8.966666666666667
2025-10,467,31,4,27,14.0,15.064516129032258
2025-11,419,30,3,40,12.0,13.966666666666667
2025-12,320,30,1,29,8.5,10.666666666666666
2026-01,366,31,4,24,11.0,11.806451612903226
2026-02,319,28,3,24,11.0,11.392857142857142
2026-03,321,23,6,37,11.0,13.956521739130435
