iso_week,week_start_utc_monday,n_reviews,n_days_with_reviews,min_daily_n,max_daily_n,median_daily_n,mean_daily_n
2024-W01,2024-01-01,25,7,2,7,2.0,3.5714285714285716
2024-W02,2024-01-08,24,7,1,6,4.0,3.4285714285714284
2024-W03,2024-01-15,24,7,1,5,4.0,3.4285714285714284
2024-W04,2024-01-22,26,6,2,7,3.5,4.333333333333333
2024-W05,2024-01-29,18,7,1,4,3.0,2.5714285714285716
2024-W06,2024-02-05,20,7,2,7,2.0,2.857142857142857
2024-W07,2024-02-12,41,7,2,10,5.0,5.857142857142857
2024-W08,2024-02-19,28,7,1,8,3.0,4.0
2024-W09,2024-02-26,16,5,2,5,3.0,3.2
2024-W10,2024-03-04,18,6,1,7,2.5,3.0
2024-W11,2024-03-11,11,7,1,2,2.0,1.5714285714285714
2024-W12,2024-03-18,13,6,1,6,1.0,2.1666666666666665
2024-W13,2024-03-25,16,6,1,7,2.0,2.6666666666666665
2024-W14,2024-04-01,17,6,1,9,1.0,2.8333333333333335
2024-W15,2024-04-08,24,7,1,6,3.0,3.4285714285714284
2024-W16,2024-04-15,22,6,1,7,3.5,3.6666666666666665
2024-W17,2024-04-22,27,7,1,7,4.0,3.857142857142857
2024-W18,2024-04-29,18,7,1,7,2.0,2.5714285714285716
2024-W19,2024-05-06,15,7,1,5,2.0,2.142857142857143
2024-W20,2024-05-13,13,6,1,4,2.0,2.1666666666666665
2024-W21,2024-05-20,22,6,1,5,4.0,3.6666666666666665
2024-W22,2024-05-27,16,7,1,4,2.0,2.2857142857142856
2024-W23,2024-06-03,19,7,1,4,3.0,2.7142857142857144
2024-W24,2024-06-10,15,7,1,5,2.0,2.142857142857143
2024-W25,2024-06-17,15,6,1,4,2.5,2.5
2024-W26,2024-06-24,11,7,1,3,1.0,1.5714285714285714
2024-W27,2024-07-01,8,7,1,2,1.0,1.1428571428571428
2024-W28,2024-07-08,16,7,1,4,2.0,2.2857142857142856
2024-W29,2024-07-15,17,7,1,5,2.0,2.4285714285714284
2024-W30,2024-07-22,11,4,2,3,3.0,2.75
2024-W31,2024-07-29,9,3,2,4,3.0,3.0
2024-W32,2024-08-05,15,7,1,4,2.0,2.142857142857143
2024-W33,2024-08-12,20,6,1,5,3.5,3.3333333333333335
2024-W34,2024-08-19,10,7,1,2,1.0,1.4285714285714286
2024-W35,2024-08-26,11,6,1,4,1.5,1.8333333333333333
2024-W36,2024-09-02,8,4,1,4,1.5,2.0
2024-W37,2024-09-09,16,5,2,5,3.0,3.2
2024-W38,2024-09-16,17,6,1,7,2.0,2.8333333333333335
2024-W39,2024-09-23,13,6,1,3,2.0,2.1666666666666665
2024-W40,2024-09-30,13,7,1,5,1.0,1.8571428571428572
2024-W41,2024-10-07,29,7,1,8,3.0,4.142857142857143
2024-W42,2024-10-14,32,7,3,7,4.0,4.571428571428571
2024-W43,2024-10-21,31,7,2,6,4.0,4.428571428571429
2024-W44,2024-10-28,24,7,2,5,3.0,3.4285714285714284
2024-W45,2024-11-04,45,7,4,12,6.0,6.428571428571429
2024-W46,2024-11-11,31,7,3,8,4.0,4.428571428571429
2024-W47,2024-11-18,39,7,2,10,5.0,5.571428571428571
2024-W48,2024-11-25,35,7,3,8,4.0,5.0
2024-W49,2024-12-02,33,7,1,7,5.0,4.714285714285714
2024-W50,2024-12-09,38,7,3,9,5.0,5.428571428571429
2024-W51,2024-12-16,47,7,3,11,6.0,6.714285714285714
2024-W52,2024-12-23,47,7,4,10,6.0,6.714285714285714
2025-W01,2024-12-30,40,7,2,13,5.0,5.714285714285714
2025-W02,2025-01-06,46,7,3,9,8.0,6.571428571428571
2025-W03,2025-01-13,55,7,3,12,8.0,7.857142857142857
2025-W04,2025-01-20,59,7,5,14,8.0,8.428571428571429
2025-W05,2025-01-27,20,6,1,6,3.5,3.3333333333333335
2025-W06,2025-02-03,31,7,2,7,4.0,4.428571428571429
2025-W07,2025-02-10,53,7,4,12,7.0,7.571428571428571
2025-W08,2025-02-17,45,7,3,11,6.0,6.428571428571429
2025-W09,2025-02-24,50,7,4,12,6.0,7.142857142857143
2025-W10,2025-03-03,54,7,5,11,8.0,7.714285714285714
2025-W11,2025-03-10,37,7,1,10,5.0,5.285714285714286
2025-W12,2025-03-17,43,7,5,8,6.0,6.142857142857143
2025-W13,2025-03-24,45,7,2,11,6.0,6.428571428571429
2025-W14,2025-03-31,33,7,2,8,5.0,4.714285714285714
2025-W15,2025-04-07,31,7,1,8,4.0,4.428571428571429
2025-W16,2025-04-14,24,7,1,7,2.0,3.4285714285714284
2025-W17,2025-04-21,44,7,2,11,5.0,6.285714285714286
2025-W18,2025-04-28,45,7,2,9,7.0,6.428571428571429
2025-W19,2025-05-05,40,7,2,8,7.0,5.714285714285714
2025-W20,2025-05-12,34,7,2,8,5.0,4.857142857142857
2025-W21,2025-05-19,39,7,2,10,5.0,5.571428571428571
2025-W22,2025-05-26,29,7,1,7,4.0,4.142857142857143
2025-W23,2025-06-02,45,7,2,10,7.0,6.428571428571429
2025-W24,2025-06-09,41,7,1,10,6.0,5.857142857142857
2025-W25,2025-06-16,29,7,2,7,4.0,4.142857142857143
2025-W26,2025-06-23,40,7,4,9,4.0,5.714285714285714
2025-W27,2025-06-30,39,7,2,8,6.0,5.571428571428571
2025-W28,2025-07-07,32,7,3,8,4.0,4.571428571428571
2025-W29,2025-07-14,40,7,4,9,6.0,5.714285714285714
2025-W30,2025-07-21,39,7,3,7,6.0,5.571428571428571
2025-W31,2025-07-28,31,7,3,7,4.0,4.428571428571429
2025-W32,2025-08-04,48,6,4,11,8.5,8.0
2025-W33,2025-08-11,23,7,2,5,3.0,3.2857142857142856
2025-W34,2025-08-18,46,7,4,11,5.0,6.571428571428571
2025-W35,2025-08-25,22,7,1,4,3.0,3.142857142857143
2025-W36,2025-09-01,56,7,4,12,6.0,8.0
2025-W37,2025-09-08,30,7,3,7,4.0,4.285714285714286
2025-W38,2025-09-15,29,7,1,8,4.0,4.142857142857143
2025-W39,2025-09-22,26,7,1,6,3.0,3.7142857142857144
2025-W40,2025-09-29,33,7,2,11,4.0,4.714285714285714
2025-W41,2025-10-06,44,7,4,10,6.0,6.285714285714286
2025-W42,2025-10-13,35,7,3,8,4.0,5.0
2025-W43,2025-10-20,46,7,3,11,6.0,6.571428571428571
2025-W44,2025-10-27,38,7,1,11,5.0,5.428571428571429
2025-W45,2025-11-03,51,7,5,11,8.0,7.285714285714286
2025-W46,2025-11-10,32,7,3,9,4.0,4.571428571428571
2025-W47,2025-11-17,30,7,3,6,4.0,4.285714285714286
2025-W48,2025-11-24,35,7,2,10,4.0,5.0
2025-W49,2025-12-01,33,7,1,6,5.0,4.714285714285714
2025-W50,2025-12-08,32,7,2,7,5.0,4.571428571428571
2025-W51,2025-12-15,47,7,4,9,6.0,6.714285714285714
2025-W52,2025-12-22,40,7,2,11,6.0,5.714285714285714
2026-W01,2025-12-29,79,7,8,18,11.0,11.285714285714286
2026-W02,2026-01-05,62,7,5,15,8.0,8.857142857142858
2026-W03,2026-01-12,30,7,1,8,3.0,4.285714285714286
2026-W04,2026-01-19,34,7,1,8,5.0,4.857142857142857
2026-W05,2026-01-26,30,7,2,8,4.0,4.285714285714286
2026-W06,2026-02-02,39,7,1,10,4.0,5.571428571428571
2026-W07,2026-02-09,25,7,1,8,2.0,3.5714285714285716
2026-W08,2026-02-16,29,6,1,10,4.5,4.833333333333333
2026-W09,2026-02-23,31,7,1,9,4.0,4.428571428571429
2026-W10,2026-03-02,30,7,2,8,3.0,4.285714285714286
2026-W11,2026-03-09,25,7,2,7,3.0,3.5714285714285716
2026-W12,2026-03-16,22,5,2,8,4.0,4.4
2026-W13,2026-03-23,3,1,3,3,3.0,3.0
