iso_week,week_start_utc_monday,n_reviews,n_days_with_reviews,min_daily_n,max_daily_n,median_daily_n,mean_daily_n
2024-W01,2024-01-01,25,7,1,7,3.0,3.5714285714285716
2024-W02,2024-01-08,35,7,3,10,4.0,5.0
2024-W03,2024-01-15,43,7,4,10,6.0,6.142857142857143
2024-W04,2024-01-22,32,7,2,8,4.0,4.571428571428571
2024-W05,2024-01-29,26,7,2,6,4.0,3.7142857142857144
2024-W06,2024-02-05,24,7,2,6,3.0,3.4285714285714284
2024-W07,2024-02-12,35,7,3,10,4.0,5.0
2024-W08,2024-02-19,14,7,1,3,2.0,2.0
2024-W09,2024-02-26,25,7,2,6,3.0,3.5714285714285716
2024-W10,2024-03-04,17,6,1,5,3.0,2.8333333333333335
2024-W11,2024-03-11,14,6,1,4,2.0,2.3333333333333335
2024-W12,2024-03-18,25,7,1,9,3.0,3.5714285714285716
2024-W13,2024-03-25,20,7,1,5,3.0,2.857142857142857
2024-W14,2024-04-01,27,6,3,8,4.0,4.5
2024-W15,2024-04-08,17,6,1,6,2.5,2.8333333333333335
2024-W16,2024-04-15,24,6,1,7,4.5,4.0
2024-W17,2024-04-22,22,7,2,5,3.0,3.142857142857143
2024-W18,2024-04-29,20,7,1,6,2.0,2.857142857142857
2024-W19,2024-05-06,16,7,1,4,2.0,2.2857142857142856
2024-W20,2024-05-13,21,6,1,7,3.0,3.5
2024-W21,2024-05-20,19,5,1,8,3.0,3.8
2024-W22,2024-05-27,17,7,1,4,2.0,2.4285714285714284
2024-W23,2024-06-03,26,7,1,6,4.0,3.7142857142857144
2024-W24,2024-06-10,20,7,2,3,3.0,2.857142857142857
2024-W25,2024-06-17,21,7,2,5,3.0,3.0
2024-W26,2024-06-24,39,7,2,8,6.0,5.571428571428571
2024-W27,2024-07-01,31,7,1,9,4.0,4.428571428571429
2024-W28,2024-07-08,35,7,2,9,5.0,5.0
2024-W29,2024-07-15,44,7,2,11,5.0,6.285714285714286
2024-W30,2024-07-22,42,7,2,8,7.0,6.0
2024-W31,2024-07-29,29,6,1,9,5.5,4.833333333333333
2024-W32,2024-08-05,19,6,1,6,2.5,3.1666666666666665
2024-W33,2024-08-12,29,7,2,7,4.0,4.142857142857143
2024-W34,2024-08-19,15,7,1,4,2.0,2.142857142857143
2024-W35,2024-08-26,14,6,1,5,2.0,2.3333333333333335
2024-W36,2024-09-02,28,7,1,6,5.0,4.0
2024-W37,2024-09-09,14,7,1,6,1.0,2.0
2024-W38,2024-09-16,18,6,1,5,3.0,3.0
2024-W39,2024-09-23,7,5,1,3,1.0,1.4
2024-W40,2024-09-30,9,6,1,2,1.5,1.5
2024-W41,2024-10-07,15,6,1,5,2.0,2.5
2024-W42,2024-10-14,14,7,1,5,1.0,2.0
2024-W43,2024-10-21,12,7,1,5,1.0,1.7142857142857142
2024-W44,2024-10-28,18,6,1,8,2.0,3.0
2024-W45,2024-11-04,13,7,1,3,2.0,1.8571428571428572
2024-W46,2024-11-11,13,6,1,3,2.0,2.1666666666666665
2024-W47,2024-11-18,12,7,1,3,1.0,1.7142857142857142
2024-W48,2024-11-25,12,5,1,4,2.0,2.4
2024-W49,2024-12-02,8,5,1,3,1.0,1.6
2024-W50,2024-12-09,10,5,1,3,2.0,2.0
2024-W51,2024-12-16,12,5,1,5,2.0,2.4
2024-W52,2024-12-23,9,4,1,3,2.5,2.25
2025-W01,2024-12-30,16,7,1,4,2.0,2.2857142857142856
2025-W02,2025-01-06,24,7,2,6,3.0,3.4285714285714284
2025-W03,2025-01-13,56,7,3,12,8.0,8.0
2025-W04,2025-01-20,24,7,1,7,2.0,3.4285714285714284
2025-W05,2025-01-27,20,7,2,5,3.0,2.857142857142857
2025-W06,2025-02-03,18,7,1,5,2.0,2.5714285714285716
2025-W07,2025-02-10,15,6,2,4,2.0,2.5
2025-W08,2025-02-17,22,7,1,5,3.0,3.142857142857143
2025-W09,2025-02-24,12,5,1,5,2.0,2.4
2025-W10,2025-03-03,23,6,1,7,4.0,3.8333333333333335
2025-W11,2025-03-10,9,5,1,4,1.0,1.8
2025-W12,2025-03-17,9,6,1,2,1.5,1.5
2025-W13,2025-03-24,15,7,1,4,2.0,2.142857142857143
2025-W14,2025-03-31,16,6,1,5,2.0,2.6666666666666665
2025-W15,2025-04-07,20,7,1,5,3.0,2.857142857142857
2025-W16,2025-04-14,13,5,1,4,3.0,2.6
2025-W17,2025-04-21,20,7,1,5,2.0,2.857142857142857
2025-W18,2025-04-28,15,7,1,3,2.0,2.142857142857143
2025-W19,2025-05-05,14,7,1,6,1.0,2.0
2025-W20,2025-05-12,19,7,1,4,3.0,2.7142857142857144
2025-W21,2025-05-19,12,7,1,3,1.0,1.7142857142857142
2025-W22,2025-05-26,16,7,1,5,2.0,2.2857142857142856
2025-W23,2025-06-02,9,5,1,3,2.0,1.8
2025-W24,2025-06-09,12,7,1,3,1.0,1.7142857142857142
2025-W25,2025-06-16,25,7,1,8,3.0,3.5714285714285716
2025-W26,2025-06-23,21,6,1,6,3.5,3.5
2025-W27,2025-06-30,19,7,1,5,2.0,2.7142857142857144
2025-W28,2025-07-07,23,7,1,6,3.0,3.2857142857142856
2025-W29,2025-07-14,35,7,3,6,5.0,5.0
2025-W30,2025-07-21,19,7,1,5,2.0,2.7142857142857144
2025-W31,2025-07-28,32,7,1,9,3.0,4.571428571428571
2025-W32,2025-08-04,25,7,1,8,3.0,3.5714285714285716
2025-W33,2025-08-11,27,7,1,9,3.0,3.857142857142857
2025-W34,2025-08-18,25,7,3,5,3.0,3.5714285714285716
2025-W35,2025-08-25,16,7,1,3,3.0,2.2857142857142856
2025-W36,2025-09-01,17,7,1,4,3.0,2.4285714285714284
2025-W37,2025-09-08,14,5,1,5,3.0,2.8
2025-W38,2025-09-15,8,5,1,3,1.0,1.6
2025-W39,2025-09-22,15,7,1,4,2.0,2.142857142857143
2025-W40,2025-09-29,10,6,1,3,1.5,1.6666666666666667
2025-W41,2025-10-06,18,5,2,6,3.0,3.6
2025-W42,2025-10-13,16,6,1,6,2.0,2.6666666666666665
2025-W43,2025-10-20,14,7,1,3,2.0,2.0
2025-W44,2025-10-27,12,6,1,4,1.5,2.0
2025-W45,2025-11-03,7,4,1,2,2.0,1.75
2025-W46,2025-11-10,12,4,2,5,2.5,3.0
2025-W47,2025-11-17,13,5,1,7,2.0,2.6
2025-W48,2025-11-24,10,5,1,4,1.0,2.0
2025-W49,2025-12-01,13,6,1,4,2.0,2.1666666666666665
2025-W50,2025-12-08,12,7,1,4,1.0,1.7142857142857142
2025-W51,2025-12-15,4,3,1,2,1.0,1.3333333333333333
2025-W52,2025-12-22,9,5,1,2,2.0,1.8
2026-W01,2025-12-29,24,7,2,4,4.0,3.4285714285714284
2026-W02,2026-01-05,23,7,2,8,3.0,3.2857142857142856
2026-W03,2026-01-12,62,7,1,20,7.0,8.857142857142858
2026-W04,2026-01-19,34,6,1,9,6.0,5.666666666666667
2026-W05,2026-01-26,16,6,1,8,2.0,2.6666666666666665
2026-W06,2026-02-02,15,7,1,4,2.0,2.142857142857143
2026-W07,2026-02-09,12,6,1,3,2.0,2.0
2026-W08,2026-02-16,23,6,2,6,3.5,3.8333333333333335
2026-W09,2026-02-23,12,6,1,4,1.5,2.0
2026-W10,2026-03-02,15,6,1,4,2.5,2.5
2026-W11,2026-03-09,14,5,2,3,3.0,2.8
2026-W12,2026-03-16,10,5,1,3,2.0,2.0
2026-W13,2026-03-23,1,1,1,1,1.0,1.0
