iso_week,week_start_utc_monday,n_reviews,n_days_with_reviews,min_daily_n,max_daily_n,median_daily_n,mean_daily_n
2024-W01,2024-01-01,30,7,1,9,5.0,4.285714285714286
2024-W02,2024-01-08,32,7,2,7,5.0,4.571428571428571
2024-W03,2024-01-15,31,7,2,7,4.0,4.428571428571429
2024-W04,2024-01-22,25,6,2,7,4.0,4.166666666666667
2024-W05,2024-01-29,21,7,1,6,3.0,3.0
2024-W06,2024-02-05,23,7,1,6,3.0,3.2857142857142856
2024-W07,2024-02-12,28,6,1,7,5.5,4.666666666666667
2024-W08,2024-02-19,20,6,1,7,2.5,3.3333333333333335
2024-W09,2024-02-26,19,6,1,7,3.0,3.1666666666666665
2024-W10,2024-03-04,18,6,1,5,2.5,3.0
2024-W11,2024-03-11,15,7,1,4,2.0,2.142857142857143
2024-W12,2024-03-18,39,7,3,7,6.0,5.571428571428571
2024-W13,2024-03-25,34,7,2,8,4.0,4.857142857142857
2024-W14,2024-04-01,45,7,4,8,7.0,6.428571428571429
2024-W15,2024-04-08,16,6,1,5,2.5,2.6666666666666665
2024-W16,2024-04-15,25,7,1,6,3.0,3.5714285714285716
2024-W17,2024-04-22,16,6,1,6,2.0,2.6666666666666665
2024-W18,2024-04-29,39,7,3,11,5.0,5.571428571428571
2024-W19,2024-05-06,30,7,2,8,4.0,4.285714285714286
2024-W20,2024-05-13,23,7,1,6,3.0,3.2857142857142856
2024-W21,2024-05-20,24,7,2,5,3.0,3.4285714285714284
2024-W22,2024-05-27,25,7,1,6,3.0,3.5714285714285716
2024-W23,2024-06-03,21,7,1,8,2.0,3.0
2024-W24,2024-06-10,26,7,1,7,3.0,3.7142857142857144
2024-W25,2024-06-17,29,7,2,6,4.0,4.142857142857143
2024-W26,2024-06-24,36,7,3,9,5.0,5.142857142857143
2024-W27,2024-07-01,14,7,1,4,2.0,2.0
2024-W28,2024-07-08,32,7,1,10,5.0,4.571428571428571
2024-W29,2024-07-15,32,7,2,8,4.0,4.571428571428571
2024-W30,2024-07-22,41,7,3,10,6.0,5.857142857142857
2024-W31,2024-07-29,24,5,1,11,3.0,4.8
2024-W32,2024-08-05,16,5,1,6,3.0,3.2
2024-W33,2024-08-12,13,5,1,4,3.0,2.6
2024-W34,2024-08-19,22,6,2,6,3.5,3.6666666666666665
2024-W35,2024-08-26,19,6,1,8,2.5,3.1666666666666665
2024-W36,2024-09-02,35,7,1,12,3.0,5.0
2024-W37,2024-09-09,31,7,2,8,4.0,4.428571428571429
2024-W38,2024-09-16,48,7,5,9,7.0,6.857142857142857
2024-W39,2024-09-23,22,7,2,6,3.0,3.142857142857143
2024-W40,2024-09-30,44,7,1,12,5.0,6.285714285714286
2024-W41,2024-10-07,34,7,3,8,5.0,4.857142857142857
2024-W42,2024-10-14,36,7,3,9,4.0,5.142857142857143
2024-W43,2024-10-21,30,7,2,7,4.0,4.285714285714286
2024-W44,2024-10-28,32,7,1,8,4.0,4.571428571428571
2024-W45,2024-11-04,33,7,2,12,4.0,4.714285714285714
2024-W46,2024-11-11,29,7,1,6,5.0,4.142857142857143
2024-W47,2024-11-18,32,7,3,6,5.0,4.571428571428571
2024-W48,2024-11-25,26,7,1,7,3.0,3.7142857142857144
2024-W49,2024-12-02,33,7,1,9,4.0,4.714285714285714
2024-W50,2024-12-09,25,7,2,6,4.0,3.5714285714285716
2024-W51,2024-12-16,25,7,1,9,2.0,3.5714285714285716
2024-W52,2024-12-23,36,7,2,13,3.0,5.142857142857143
2025-W01,2024-12-30,47,7,2,12,7.0,6.714285714285714
2025-W02,2025-01-06,40,7,1,9,6.0,5.714285714285714
2025-W03,2025-01-13,53,7,4,12,7.0,7.571428571428571
2025-W04,2025-01-20,55,7,6,10,8.0,7.857142857142857
2025-W05,2025-01-27,52,7,3,15,8.0,7.428571428571429
2025-W06,2025-02-03,47,7,4,10,7.0,6.714285714285714
2025-W07,2025-02-10,23,7,1,5,4.0,3.2857142857142856
2025-W08,2025-02-17,35,7,2,8,5.0,5.0
2025-W09,2025-02-24,53,7,4,11,9.0,7.571428571428571
2025-W10,2025-03-03,63,7,4,15,9.0,9.0
2025-W11,2025-03-10,28,7,1,6,4.0,4.0
2025-W12,2025-03-17,45,7,4,10,6.0,6.428571428571429
2025-W13,2025-03-24,46,7,3,11,7.0,6.571428571428571
2025-W14,2025-03-31,21,7,2,6,3.0,3.0
2025-W15,2025-04-07,46,7,2,10,6.0,6.571428571428571
2025-W16,2025-04-14,36,7,3,8,5.0,5.142857142857143
2025-W17,2025-04-21,39,7,3,11,5.0,5.571428571428571
2025-W18,2025-04-28,21,7,1,6,3.0,3.0
2025-W19,2025-05-05,33,7,1,10,4.0,4.714285714285714
2025-W20,2025-05-12,22,7,1,7,3.0,3.142857142857143
2025-W21,2025-05-19,19,6,1,6,3.0,3.1666666666666665
2025-W22,2025-05-26,18,7,1,4,2.0,2.5714285714285716
2025-W23,2025-06-02,16,7,1,4,2.0,2.2857142857142856
2025-W24,2025-06-09,19,7,1,5,3.0,2.7142857142857144
2025-W25,2025-06-16,39,7,2,15,4.0,5.571428571428571
2025-W26,2025-06-23,20,7,1,6,3.0,2.857142857142857
2025-W27,2025-06-30,18,5,3,5,3.0,3.6
2025-W28,2025-07-07,46,7,2,16,6.0,6.571428571428571
2025-W29,2025-07-14,38,7,3,9,5.0,5.428571428571429
2025-W30,2025-07-21,35,7,1,9,6.0,5.0
2025-W31,2025-07-28,38,7,1,9,5.0,5.428571428571429
2025-W32,2025-08-04,22,7,1,6,2.0,3.142857142857143
2025-W33,2025-08-11,37,7,3,9,5.0,5.285714285714286
2025-W34,2025-08-18,30,7,2,8,5.0,4.285714285714286
2025-W35,2025-08-25,58,7,1,15,10.0,8.285714285714286
2025-W36,2025-09-01,51,7,2,20,5.0,7.285714285714286
2025-W37,2025-09-08,75,7,4,17,11.0,10.714285714285714
2025-W38,2025-09-15,79,7,6,20,12.0,11.285714285714286
2025-W39,2025-09-22,53,7,4,13,7.0,7.571428571428571
2025-W40,2025-09-29,80,7,4,19,13.0,11.428571428571429
2025-W41,2025-10-06,104,7,4,25,14.0,14.857142857142858
2025-W42,2025-10-13,115,7,6,27,14.0,16.428571428571427
2025-W43,2025-10-20,111,7,9,22,17.0,15.857142857142858
2025-W44,2025-10-27,102,7,8,20,16.0,14.571428571428571
2025-W45,2025-11-03,81,7,3,39,7.0,11.571428571428571
2025-W46,2025-11-10,91,7,3,26,11.0,13.0
2025-W47,2025-11-17,125,7,5,40,14.0,17.857142857142858
2025-W48,2025-11-24,88,7,7,20,11.0,12.571428571428571
2025-W49,2025-12-01,68,6,3,21,10.0,11.333333333333334
2025-W50,2025-12-08,53,7,1,23,5.0,7.571428571428571
2025-W51,2025-12-15,108,7,8,29,12.0,15.428571428571429
2025-W52,2025-12-22,68,7,3,20,8.0,9.714285714285714
2026-W01,2025-12-29,70,7,3,16,11.0,10.0
2026-W02,2026-01-05,86,7,7,24,9.0,12.285714285714286
2026-W03,2026-01-12,103,7,11,20,13.0,14.714285714285714
2026-W04,2026-01-19,70,7,7,13,10.0,10.0
2026-W05,2026-01-26,76,7,4,16,12.0,10.857142857142858
2026-W06,2026-02-02,70,7,4,17,9.0,10.0
2026-W07,2026-02-09,72,7,3,21,10.0,10.285714285714286
2026-W08,2026-02-16,91,7,3,20,13.0,13.0
2026-W09,2026-02-23,86,7,3,24,8.0,12.285714285714286
2026-W10,2026-03-02,99,7,6,29,11.0,14.142857142857142
2026-W11,2026-03-09,124,7,6,37,14.0,17.714285714285715
2026-W12,2026-03-16,75,7,6,17,10.0,10.714285714285714
2026-W13,2026-03-23,7,1,7,7,7.0,7.0
