year_month,n_reviews,n_days_with_reviews,min_daily_n,max_daily_n,median_daily_n,mean_daily_n
2024-01,96,28,1,9,3.0,3.4285714285714284
2024-02,60,25,1,6,2.0,2.4
2024-03,64,25,1,12,2.0,2.56
2024-04,84,29,1,9,2.0,2.896551724137931
2024-05,82,27,1,7,3.0,3.037037037037037
2024-06,132,30,1,15,4.0,4.4
2024-07,170,31,1,12,5.0,5.483870967741935
2024-08,112,30,1,9,3.0,3.7333333333333334
2024-09,74,24,1,8,3.0,3.0833333333333335
2024-10,137,28,1,10,4.5,4.892857142857143
2024-11,83,26,1,9,3.0,3.1923076923076925
2024-12,81,27,1,14,2.0,3.0
2025-01,85,31,1,6,3.0,2.7419354838709675
2025-02,81,27,1,8,3.0,3.0
2025-03,100,30,1,7,3.0,3.3333333333333335
2025-04,97,30,1,7,3.0,3.2333333333333334
2025-05,81,30,1,6,2.0,2.7
2025-06,75,25,1,10,2.0,3.0
2025-07,119,29,1,9,4.0,4.103448275862069
2025-08,101,25,1,9,4.0,4.04
2025-09,122,29,1,9,5.0,4.206896551724138
2025-10,95,30,1,8,3.0,3.1666666666666665
2025-11,98,28,1,9,3.0,3.5
2025-12,146,31,1,10,4.0,4.709677419354839
2026-01,109,29,1,9,3.0,3.7586206896551726
2026-02,137,27,1,11,5.0,5.074074074074074
2026-03,189,23,1,18,8.0,8.217391304347826
