iso_week,week_start_utc_monday,n_reviews,n_days_with_reviews,min_daily_n,max_daily_n,median_daily_n,mean_daily_n
2024-W01,2024-01-01,36,7,1,10,6.0,5.142857142857143
2024-W02,2024-01-08,28,6,1,7,5.5,4.666666666666667
2024-W03,2024-01-15,20,7,1,5,3.0,2.857142857142857
2024-W04,2024-01-22,28,7,1,8,4.0,4.0
2024-W05,2024-01-29,17,5,1,8,2.0,3.4
2024-W06,2024-02-05,9,5,1,3,2.0,1.8
2024-W07,2024-02-12,28,7,1,7,4.0,4.0
2024-W08,2024-02-19,35,7,2,9,5.0,5.0
2024-W09,2024-02-26,32,7,1,8,5.0,4.571428571428571
2024-W10,2024-03-04,19,7,1,5,2.0,2.7142857142857144
2024-W11,2024-03-11,22,7,1,6,3.0,3.142857142857143
2024-W12,2024-03-18,20,7,1,6,3.0,2.857142857142857
2024-W13,2024-03-25,23,7,2,5,3.0,3.2857142857142856
2024-W14,2024-04-01,31,6,1,9,4.5,5.166666666666667
2024-W15,2024-04-08,13,6,1,4,2.0,2.1666666666666665
2024-W16,2024-04-15,19,7,1,5,3.0,2.7142857142857144
2024-W17,2024-04-22,12,6,1,4,2.0,2.0
2024-W18,2024-04-29,11,7,1,3,1.0,1.5714285714285714
2024-W19,2024-05-06,35,7,1,8,5.0,5.0
2024-W20,2024-05-13,17,7,1,4,3.0,2.4285714285714284
2024-W21,2024-05-20,22,6,2,7,2.5,3.6666666666666665
2024-W22,2024-05-27,17,5,2,5,4.0,3.4
2024-W23,2024-06-03,17,5,2,6,3.0,3.4
2024-W24,2024-06-10,27,7,1,6,4.0,3.857142857142857
2024-W25,2024-06-17,19,6,1,6,3.0,3.1666666666666665
2024-W26,2024-06-24,16,7,1,3,2.0,2.2857142857142856
2024-W27,2024-07-01,14,7,1,3,2.0,2.0
2024-W28,2024-07-08,30,7,2,9,4.0,4.285714285714286
2024-W29,2024-07-15,35,7,1,8,6.0,5.0
2024-W30,2024-07-22,35,7,3,7,5.0,5.0
2024-W31,2024-07-29,25,6,2,7,4.0,4.166666666666667
2024-W32,2024-08-05,28,7,2,7,3.0,4.0
2024-W33,2024-08-12,25,6,2,7,3.5,4.166666666666667
2024-W34,2024-08-19,23,7,1,7,3.0,3.2857142857142856
2024-W35,2024-08-26,25,7,1,6,3.0,3.5714285714285716
2024-W36,2024-09-02,17,6,1,4,3.0,2.8333333333333335
2024-W37,2024-09-09,18,7,2,4,2.0,2.5714285714285716
2024-W38,2024-09-16,12,6,1,5,1.5,2.0
2024-W39,2024-09-23,18,6,1,5,3.0,3.0
2024-W40,2024-09-30,15,7,1,4,2.0,2.142857142857143
2024-W41,2024-10-07,25,7,2,7,3.0,3.5714285714285716
2024-W42,2024-10-14,19,7,1,5,2.0,2.7142857142857144
2024-W43,2024-10-21,23,7,1,9,2.0,3.2857142857142856
2024-W44,2024-10-28,18,7,1,4,3.0,2.5714285714285716
2024-W45,2024-11-04,14,6,1,5,2.0,2.3333333333333335
2024-W46,2024-11-11,26,7,2,6,4.0,3.7142857142857144
2024-W47,2024-11-18,18,7,1,8,1.0,2.5714285714285716
2024-W48,2024-11-25,24,7,1,5,4.0,3.4285714285714284
2024-W49,2024-12-02,18,6,2,7,2.0,3.0
2024-W50,2024-12-09,27,7,1,12,3.0,3.857142857142857
2024-W51,2024-12-16,14,5,2,4,2.0,2.8
2024-W52,2024-12-23,14,7,1,4,2.0,2.0
2025-W01,2024-12-30,30,7,2,7,4.0,4.285714285714286
2025-W02,2025-01-06,25,7,2,6,3.0,3.5714285714285716
2025-W03,2025-01-13,38,7,4,9,5.0,5.428571428571429
2025-W04,2025-01-20,21,7,1,5,3.0,3.0
2025-W05,2025-01-27,27,7,2,7,3.0,3.857142857142857
2025-W06,2025-02-03,13,6,1,4,2.0,2.1666666666666665
2025-W07,2025-02-10,19,7,1,6,2.0,2.7142857142857144
2025-W08,2025-02-17,26,7,2,7,3.0,3.7142857142857144
2025-W09,2025-02-24,9,4,1,4,2.0,2.25
2025-W10,2025-03-03,15,6,1,5,2.5,2.5
2025-W11,2025-03-10,10,7,1,3,1.0,1.4285714285714286
2025-W12,2025-03-17,28,7,1,10,4.0,4.0
2025-W13,2025-03-24,17,6,1,7,1.5,2.8333333333333335
2025-W14,2025-03-31,18,7,1,4,3.0,2.5714285714285716
2025-W15,2025-04-07,9,6,1,2,1.5,1.5
2025-W16,2025-04-14,21,7,1,6,3.0,3.0
2025-W17,2025-04-21,25,6,2,7,4.0,4.166666666666667
2025-W18,2025-04-28,13,7,1,4,1.0,1.8571428571428572
2025-W19,2025-05-05,18,7,1,4,3.0,2.5714285714285716
2025-W20,2025-05-12,14,6,2,3,2.0,2.3333333333333335
2025-W21,2025-05-19,21,6,2,6,3.0,3.5
2025-W22,2025-05-26,24,7,2,5,3.0,3.4285714285714284
2025-W23,2025-06-02,41,7,2,11,6.0,5.857142857142857
2025-W24,2025-06-09,27,6,1,11,3.5,4.5
2025-W25,2025-06-16,26,7,1,7,4.0,3.7142857142857144
2025-W26,2025-06-23,22,6,1,10,2.5,3.6666666666666665
2025-W27,2025-06-30,21,7,1,6,2.0,3.0
2025-W28,2025-07-07,27,6,1,8,5.0,4.5
2025-W29,2025-07-14,27,7,2,7,3.0,3.857142857142857
2025-W30,2025-07-21,21,7,1,5,3.0,3.0
2025-W31,2025-07-28,202,7,2,177,4.0,28.857142857142858
2025-W32,2025-08-04,22,7,1,5,3.0,3.142857142857143
2025-W33,2025-08-11,18,7,1,6,2.0,2.5714285714285716
2025-W34,2025-08-18,8,7,1,2,1.0,1.1428571428571428
2025-W35,2025-08-25,18,6,1,5,3.0,3.0
2025-W36,2025-09-01,12,7,1,3,1.0,1.7142857142857142
2025-W37,2025-09-08,22,7,2,6,2.0,3.142857142857143
2025-W38,2025-09-15,21,7,1,8,2.0,3.0
2025-W39,2025-09-22,18,5,1,10,2.0,3.6
2025-W40,2025-09-29,12,6,1,4,2.0,2.0
2025-W41,2025-10-06,13,7,1,3,2.0,1.8571428571428572
2025-W42,2025-10-13,23,6,1,7,4.0,3.8333333333333335
2025-W43,2025-10-20,13,5,1,4,3.0,2.6
2025-W44,2025-10-27,17,7,1,6,2.0,2.4285714285714284
2025-W45,2025-11-03,16,5,2,5,3.0,3.2
2025-W46,2025-11-10,15,6,1,10,1.0,2.5
2025-W47,2025-11-17,17,4,1,8,4.0,4.25
2025-W48,2025-11-24,19,7,1,7,2.0,2.7142857142857144
2025-W49,2025-12-01,9,4,1,3,2.5,2.25
2025-W50,2025-12-08,19,7,1,6,2.0,2.7142857142857144
2025-W51,2025-12-15,10,4,1,5,2.0,2.5
2025-W52,2025-12-22,17,7,1,4,3.0,2.4285714285714284
2026-W01,2025-12-29,21,7,1,5,3.0,3.0
2026-W02,2026-01-05,19,7,2,4,2.0,2.7142857142857144
2026-W03,2026-01-12,16,7,1,4,2.0,2.2857142857142856
2026-W04,2026-01-19,20,7,2,4,3.0,2.857142857142857
2026-W05,2026-01-26,23,6,1,7,4.0,3.8333333333333335
2026-W06,2026-02-02,10,5,1,5,1.0,2.0
2026-W07,2026-02-09,17,7,1,6,2.0,2.4285714285714284
2026-W08,2026-02-16,15,7,1,5,1.0,2.142857142857143
2026-W09,2026-02-23,16,6,1,4,2.5,2.6666666666666665
2026-W10,2026-03-02,15,7,1,3,2.0,2.142857142857143
2026-W11,2026-03-09,14,6,1,4,2.5,2.3333333333333335
2026-W12,2026-03-16,14,7,1,3,2.0,2.0
2026-W13,2026-03-23,2,1,2,2,2.0,2.0
