year_month,n_reviews,n_days_with_reviews,min_daily_n,max_daily_n,median_daily_n,mean_daily_n
2024-01,38,21,1,4,2.0,1.8095238095238095
2024-02,30,17,1,4,2.0,1.7647058823529411
2024-03,40,21,1,4,2.0,1.9047619047619047
2024-04,75,27,1,9,2.0,2.7777777777777777
2024-05,62,23,1,7,2.0,2.6956521739130435
2024-06,65,25,1,7,3.0,2.6
2024-07,86,30,1,5,3.0,2.8666666666666667
2024-08,54,24,1,4,2.0,2.25
2024-09,55,27,1,6,1.0,2.037037037037037
2024-10,68,28,1,6,2.0,2.4285714285714284
2024-11,39,24,1,4,1.0,1.625
2024-12,60,28,1,7,2.0,2.142857142857143
2025-01,114,29,1,8,4.0,3.9310344827586206
2025-02,131,28,2,11,4.0,4.678571428571429
2025-03,112,30,2,7,4.0,3.7333333333333334
2025-04,81,29,1,6,3.0,2.793103448275862
2025-05,93,28,1,7,3.0,3.3214285714285716
2025-06,88,28,1,7,3.0,3.142857142857143
2025-07,63,23,1,6,3.0,2.739130434782609
2025-08,102,29,1,7,4.0,3.5172413793103448
2025-09,84,28,1,7,2.0,3.0
2025-10,78,29,1,9,2.0,2.689655172413793
2025-11,63,27,1,6,2.0,2.3333333333333335
2025-12,91,28,1,8,3.0,3.25
2026-01,131,31,1,8,4.0,4.225806451612903
2026-02,58,24,1,6,2.0,2.4166666666666665
2026-03,44,21,1,4,2.0,2.0952380952380953
