year_month,n_reviews,n_days_with_reviews,min_daily_n,max_daily_n,median_daily_n,mean_daily_n
2024-01,62,25,1,5,2.0,2.48
2024-02,57,23,1,5,2.0,2.4782608695652173
2024-03,56,23,1,5,2.0,2.4347826086956523
2024-04,45,22,1,5,2.0,2.0454545454545454
2024-05,35,24,1,4,1.0,1.4583333333333333
2024-06,33,19,1,4,2.0,1.736842105263158
2024-07,44,23,1,4,2.0,1.9130434782608696
2024-08,31,20,1,4,1.0,1.55
2024-09,32,19,1,3,2.0,1.6842105263157894
2024-10,38,23,1,4,1.0,1.6521739130434783
2024-11,54,25,1,7,2.0,2.16
2024-12,38,24,1,3,1.0,1.5833333333333333
2025-01,54,24,1,6,2.0,2.25
2025-02,63,24,1,8,2.0,2.625
2025-03,66,27,1,5,2.0,2.4444444444444446
2025-04,48,24,1,4,2.0,2.0
2025-05,37,25,1,3,1.0,1.48
2025-06,27,21,1,2,1.0,1.2857142857142858
2025-07,57,25,1,4,2.0,2.28
2025-08,40,23,1,5,1.0,1.7391304347826086
2025-09,47,23,1,5,2.0,2.0434782608695654
2025-10,52,24,1,5,2.0,2.1666666666666665
2025-11,32,23,1,4,1.0,1.391304347826087
2025-12,50,24,1,5,2.0,2.0833333333333335
2026-01,74,27,1,5,3.0,2.740740740740741
2026-02,63,25,1,5,3.0,2.52
2026-03,34,17,1,3,2.0,2.0
