year_month,n_reviews,n_days_with_reviews,min_daily_n,max_daily_n,median_daily_n,mean_daily_n
2024-01,145,31,1,10,4.0,4.67741935483871
2024-02,105,29,1,10,3.0,3.6206896551724137
2024-03,85,29,1,9,3.0,2.9310344827586206
2024-04,95,27,1,8,3.0,3.5185185185185186
2024-05,84,28,1,8,2.5,3.0
2024-06,110,30,1,8,3.0,3.6666666666666665
2024-07,173,31,1,11,6.0,5.580645161290323
2024-08,83,28,1,7,2.0,2.9642857142857144
2024-09,70,27,1,6,2.0,2.5925925925925926
2024-10,64,29,1,8,2.0,2.206896551724138
2024-11,53,27,1,4,2.0,1.962962962962963
2024-12,43,21,1,5,2.0,2.0476190476190474
2025-01,131,31,1,12,3.0,4.225806451612903
2025-02,70,26,1,5,2.0,2.6923076923076925
2025-03,63,26,1,7,2.0,2.423076923076923
2025-04,70,27,1,5,2.0,2.5925925925925926
2025-05,69,31,1,6,2.0,2.225806451612903
2025-06,73,27,1,8,2.0,2.7037037037037037
2025-07,104,31,1,6,3.0,3.3548387096774195
2025-08,112,31,1,9,3.0,3.6129032258064515
2025-09,58,26,1,5,2.0,2.230769230769231
2025-10,65,27,1,6,2.0,2.4074074074074074
2025-11,43,19,1,7,2.0,2.263157894736842
2025-12,48,24,1,4,2.0,2.0
2026-01,149,30,1,20,3.0,4.966666666666667
2026-02,59,24,1,6,2.0,2.4583333333333335
2026-03,43,18,1,4,2.5,2.388888888888889
