year_month,n_reviews,n_days_with_reviews,min_daily_n,max_daily_n,median_daily_n,mean_daily_n
2024-01,120,30,1,10,3.5,4.0
2024-02,102,25,1,9,4.0,4.08
2024-03,95,31,1,8,3.0,3.064516129032258
2024-04,80,27,1,9,2.0,2.962962962962963
2024-05,93,29,1,8,3.0,3.206896551724138
2024-06,83,26,1,6,3.0,3.1923076923076925
2024-07,128,31,1,9,4.0,4.129032258064516
2024-08,109,29,1,7,3.0,3.7586206896551726
2024-09,70,27,1,5,2.0,2.5925925925925926
2024-10,92,31,1,9,3.0,2.967741935483871
2024-11,84,29,1,8,3.0,2.896551724137931
2024-12,84,28,1,12,2.0,3.0
2025-01,127,31,1,9,4.0,4.096774193548387
2025-02,72,25,1,7,2.0,2.88
2025-03,75,28,1,10,2.0,2.6785714285714284
2025-04,79,28,1,7,3.0,2.8214285714285716
2025-05,76,29,1,6,3.0,2.6206896551724137
2025-06,126,28,1,11,4.5,4.5
2025-07,109,30,1,8,3.0,3.6333333333333333
2025-08,250,30,1,177,2.5,8.333333333333334
2025-09,78,28,1,10,2.0,2.7857142857142856
2025-10,66,27,1,7,2.0,2.4444444444444446
2025-11,74,24,1,10,2.0,3.0833333333333335
2025-12,62,25,1,6,2.0,2.48
2026-01,91,30,1,7,3.0,3.033333333333333
2026-02,57,25,1,6,2.0,2.28
2026-03,47,22,1,4,2.0,2.1363636363636362
