year_month,n_reviews,n_days_with_reviews,min_daily_n,max_daily_n,median_daily_n,mean_daily_n
2024-01,65,26,1,4,3.0,2.5
2024-02,43,24,1,4,2.0,1.7916666666666667
2024-03,29,16,1,3,2.0,1.8125
2024-04,31,18,1,3,1.5,1.7222222222222223
2024-05,50,24,1,6,2.0,2.0833333333333335
2024-06,33,23,1,4,1.0,1.434782608695652
2024-07,77,28,1,9,2.0,2.75
2024-08,42,21,1,4,2.0,2.0
2024-09,39,22,1,4,1.5,1.7727272727272727
2024-10,39,20,1,4,2.0,1.95
2024-11,43,24,1,3,2.0,1.7916666666666667
2024-12,44,23,1,4,2.0,1.9130434782608696
2025-01,69,28,1,5,2.0,2.4642857142857144
2025-02,51,24,1,5,2.0,2.125
2025-03,45,25,1,5,2.0,1.8
2025-04,20,13,1,5,1.0,1.5384615384615385
2025-05,38,21,1,5,2.0,1.8095238095238095
2025-06,40,20,1,4,2.0,2.0
2025-07,47,22,1,4,2.0,2.1363636363636362
2025-08,41,20,1,6,1.5,2.05
2025-09,52,21,1,7,2.0,2.4761904761904763
2025-10,43,23,1,4,2.0,1.8695652173913044
2025-11,34,17,1,4,2.0,2.0
2025-12,42,22,1,6,1.0,1.9090909090909092
2026-01,66,25,1,6,3.0,2.64
2026-02,45,22,1,4,2.0,2.0454545454545454
2026-03,28,15,1,5,2.0,1.8666666666666667
