,0,1,2
0,0.6968523229268752,0.3031476710005526,6.072583372563241e-09
1,0.8187363324473789,0.09602363334637633,0.0852400342061833
2,0.5674567294146026,0.09867670480948802,0.33386656661459696
3,0.5927372926387846,2.7247170144726117e-09,0.40726270463649433
4,0.2007011223475133,-2.7010215714946256e-09,0.7992988803535084
5,0.26068989447462926,0.008956596791942748,0.7303535087335569
6,0.3185713310388493,3.656932156374788e-09,0.6814286653041813
7,0.37854698783251006,0.19092348101720066,0.4305295311500148
8,0.2279355163379169,-1.8977352858421117e-10,0.7720644838518569
9,0.1937369223310381,-1.2374672172005511e-10,0.8062630777927088
10,0.12344354078561481,-1.1545736345042642e-10,0.8765564593298424
11,0.23437250335127766,0.0481494124793357,0.7174780841691849
12,0.2516334705567145,1.9641421878851655e-10,0.7483665292468713
13,0.38678393591844995,2.452801983901131e-10,0.6132160638362681
14,0.1997803835113943,-1.9545149727166183e-11,0.8002196165081509
15,0.49849632155537194,1.041983591770025e-09,0.501503677402643
16,0.42368245400621013,-7.7150618819468e-10,0.5763175467652913
17,0.18512871290389432,-9.217760406882672e-11,0.8148712871882832
18,-2.086294199991371e-10,0.23968602242948092,0.7603139777791493
19,0.2394998706054885,0.18105488741852793,0.5794452434741234
20,0.33535103923259396,-1.1212857665323228e-10,0.6646489608795347
21,0.11814964528460105,0.07595536340242602,0.8058949921389771
22,6.456835781946831e-09,6.863514350570227e-10,0.9999999928568127
23,3.3232749144768094e-09,0.005059720282827858,0.9949402763939438
24,0.2062540589825539,-1.0392233540620058e-10,0.7937459411213683
25,1.8613800955922662e-09,0.1089467552207404,0.8910532429178797
26,6.399852108043378e-10,0.03956237147699021,0.9604376278830267
27,3.330457776454256e-10,0.0340851249278382,0.9659148747391175
28,0.053050934230866834,1.474396649031122e-09,0.9469490642947357
29,0.0898927783535068,1.722654917272047e-09,0.9101072199238374
30,0.04009182460116395,2.5846967856010357e-09,0.9599081728141396
31,0.02328534160829585,5.613238445606081e-09,0.9767146527784656
32,1.5679059994041208e-09,0.08865835994231061,0.9113416384897833
33,2.012743762854456e-09,0.1375649711903874,0.8624350267968691
34,0.021454334388357962,1.0196716126136041e-09,0.9785456645919696
35,0.1483610255017241,4.2792278775123183e-10,0.851638974070353
36,0.1268563329901417,6.137987469701924e-10,0.8731436663960594
37,0.10013228804992196,1.849026027003657e-09,0.8998677101010519
38,0.07150292923194636,1.2620599954047982e-09,0.9284970695059935
39,0.09229292951987902,5.220366757181549e-11,0.907707070427917
40,2.700328941422085e-09,0.04446008260970391,0.9555399146899701
41,1.299871359242342e-09,0.0010736424994631656,0.9989263562006668
42,0.04158002475213908,2.277556263163347e-09,0.9584199729703038
43,0.07376852449466004,8.428100464617756e-10,0.9262314746625295
44,0.009640759059631444,1.9631627530084717e-09,0.9903592389771975
45,-5.927594020001807e-10,-1.9657417360132024e-10,1.00000000078943
46,0.05386422059487857,1.7455734225104117e-08,0.9461357619493872
47,1.6300469938012517e-10,6.318306103565722e-09,0.9999999935186014
48,1.1276287622739084e-09,0.06166500305882346,0.9383349958135485
49,0.04746903211958361,4.506303757023616e-09,0.9525309633741116
50,0.05577377674621067,1.354143152150646e-09,0.944226221899646
51,0.03106511594935053,0.06339952707165641,0.9055353560819576
52,2.6312373243990687e-09,1.7716582475134792e-08,0.9999999796522858
