chunk_idx,timestamp,true_-1_pred_-1,true_-1_pred_0,true_-1_pred_1,true_0_pred_-1,true_0_pred_0,true_0_pred_1,true_1_pred_-1,true_1_pred_0,true_1_pred_1,accuracy,f1_macro
0,2024-01,2,10,0,0,17,0,0,101,3,0.1654135338345864,0.1920906035633718
1,2024-02,0,4,0,0,13,2,0,69,3,0.1758241758241758,0.1117826068321117
2,2024-03,2,3,0,1,7,0,0,97,1,0.09009009009009,0.2139803835456009
3,2024-04,0,3,0,0,12,0,0,92,3,0.1363636363636363,0.0876350540216086
4,2024-05,0,5,0,1,9,0,0,104,4,0.1056910569105691,0.0706845238095238
5,2024-06,1,2,0,0,17,0,0,101,1,0.1557377049180328,0.2558642194033024
6,2024-07,0,5,0,1,9,0,0,115,3,0.0902255639097744,0.0596943932457339
7,2024-08,0,3,0,0,5,0,0,68,3,0.1012658227848101,0.0681792904015126
8,2024-09,0,1,0,0,5,0,0,129,3,0.0579710144927536,0.0386243386243386
9,2024-10,0,0,0,3,8,1,0,144,8,0.0975609756097561,0.0656466191991112
10,2024-11,0,2,0,0,7,0,1,116,2,0.0703125,0.0463728191000918
11,2024-12,0,7,0,0,14,1,0,108,5,0.1407407407407407,0.0928260192966075
12,2025-01,0,6,0,1,16,1,0,183,7,0.1074766355140186,0.0714016095182014
13,2025-02,0,3,0,0,6,0,0,147,2,0.050632911392405,0.0335213800997465
14,2025-03,0,4,0,0,8,0,0,185,7,0.0735294117647058,0.0494668464272582
15,2025-04,2,7,0,0,9,0,1,127,4,0.1,0.1701926384588923
16,2025-05,0,5,0,0,6,0,0,88,2,0.0792079207920792,0.0525879917184265
17,2025-06,0,5,0,0,7,1,0,81,5,0.1212121212121212,0.0824365045200172
18,2025-07,0,1,0,0,10,0,0,144,2,0.0764331210191082,0.0494130494130494
19,2025-08,0,2,0,0,3,0,0,154,3,0.037037037037037,0.0248456790123456
20,2025-09,0,0,0,0,9,0,0,255,5,0.0520446096654275,0.0518349574953348
21,2025-10,0,6,0,0,5,0,0,446,10,0.032119914346895,0.0215211588602146
22,2025-11,2,4,0,0,12,0,0,395,6,0.0477326968973747,0.1954072060455039
23,2025-12,0,1,0,0,7,0,0,309,3,0.03125,0.0207524985302763
24,2026-01,1,4,0,0,9,0,0,342,10,0.0546448087431694,0.1460108338561377
25,2026-02,0,6,0,0,5,0,0,305,3,0.0250783699059561,0.0168150841588952
26,2026-03,0,6,0,0,7,0,0,306,2,0.02803738317757,0.018616003694175
