chunk_idx,timestamp,true_-1_pred_-1,true_-1_pred_0,true_-1_pred_1,true_0_pred_-1,true_0_pred_0,true_0_pred_1,true_1_pred_-1,true_1_pred_0,true_1_pred_1,accuracy,f1_macro
0,2024-01,2,2,0,0,6,0,0,26,2,0.2631578947368421,0.3666666666666666
1,2024-02,1,2,0,0,0,0,0,25,2,0.1,0.2126436781609195
2,2024-03,1,1,0,0,3,1,0,32,2,0.15,0.3082582582582582
3,2024-04,0,3,0,0,10,0,0,57,5,0.2,0.1330845771144278
4,2024-05,0,1,0,1,10,0,0,47,3,0.2096774193548387,0.1343542065445264
5,2024-06,0,1,0,0,12,0,0,48,4,0.2461538461538461,0.157208088714938
6,2024-07,0,4,0,1,12,0,0,69,0,0.1395348837209302,0.0816326530612244
7,2024-08,0,4,0,0,11,0,0,38,1,0.2222222222222222,0.13125
8,2024-09,1,6,0,0,6,0,0,41,1,0.1454545454545454,0.1666338194718171
9,2024-10,0,4,0,0,12,1,0,48,3,0.2205882352941176,0.1402597402597402
10,2024-11,0,3,0,0,9,0,0,27,0,0.2307692307692307,0.125
11,2024-12,0,8,0,0,8,0,0,35,9,0.2833333333333333,0.2036030273958
12,2025-01,0,4,0,2,20,0,0,82,6,0.2280701754385964,0.1467198581560283
13,2025-02,1,6,0,0,11,0,0,107,6,0.1374045801526717,0.1712677663658055
14,2025-03,0,1,0,0,11,1,0,93,6,0.1517857142857142,0.1004139117346664
15,2025-04,0,2,0,0,5,0,1,68,5,0.1234567901234567,0.0838607594936708
16,2025-05,0,1,0,1,7,0,0,78,6,0.1397849462365591,0.0940898345153664
17,2025-06,1,3,0,0,11,0,0,71,2,0.1590909090909091,0.2275
18,2025-07,0,2,0,0,7,0,0,52,2,0.1428571428571428,0.0924369747899159
19,2025-08,1,2,0,0,11,0,1,79,8,0.196078431372549,0.2600862998921251
20,2025-09,1,2,0,0,9,0,0,72,0,0.119047619047619,0.2318840579710145
21,2025-10,0,0,0,1,4,0,0,72,1,0.0641025641025641,0.0419308197085974
22,2025-11,0,2,0,0,3,0,0,56,2,0.0793650793650793,0.0534722222222222
23,2025-12,0,6,0,0,8,1,0,75,1,0.0989010989010989,0.0629687772544915
24,2026-01,0,15,0,0,22,1,2,84,7,0.2213740458015267,0.148056472313898
25,2026-02,0,4,0,1,5,0,0,48,0,0.0862068965517241,0.0529100529100529
26,2026-03,0,5,0,0,3,0,0,34,2,0.1136363636363636,0.07953216374269
