chunk_idx,timestamp,true_-1_pred_-1,true_-1_pred_0,true_-1_pred_1,true_0_pred_-1,true_0_pred_0,true_0_pred_1,true_1_pred_-1,true_1_pred_0,true_1_pred_1,accuracy,f1_macro
0,2024-01,2,9,0,1,18,0,0,114,1,0.1448275862068965,0.1759852216748768
1,2024-02,0,7,1,0,16,0,1,77,3,0.1809523809523809,0.1154834347532116
2,2024-03,1,2,0,0,12,0,1,65,4,0.2,0.2572814572814573
3,2024-04,0,6,0,0,12,2,1,73,1,0.1368421052631579,0.0847374847374847
4,2024-05,0,2,0,1,10,0,0,69,2,0.1428571428571428,0.0907286082985904
5,2024-06,1,2,0,0,16,0,0,91,0,0.1545454545454545,0.252
6,2024-07,0,8,0,0,22,0,0,141,2,0.1387283236994219,0.0851884938359835
7,2024-08,0,4,0,0,10,0,1,65,3,0.1566265060240964,0.1026841448189762
8,2024-09,0,1,0,3,10,0,0,56,0,0.1428571428571428,0.0833333333333333
9,2024-10,0,1,0,0,13,1,0,46,3,0.25,0.1548529661737209
10,2024-11,0,2,0,2,12,0,0,37,0,0.2264150943396226,0.123076923076923
11,2024-12,0,5,0,0,5,0,0,28,5,0.2325581395348837,0.1652386780905752
12,2025-01,0,4,0,1,19,0,0,101,6,0.1908396946564885,0.1233611930514585
13,2025-02,0,4,0,0,9,0,0,57,0,0.1285714285714285,0.0759493670886076
14,2025-03,0,2,0,0,8,0,0,51,2,0.1587301587301587,0.1015371102327624
15,2025-04,0,3,0,0,13,0,0,52,2,0.2142857142857142,0.1308054085831863
16,2025-05,0,2,0,0,9,0,1,55,2,0.1594202898550724,0.1022222222222222
17,2025-06,0,2,0,0,13,0,0,54,4,0.2328767123287671,0.1487018095987411
18,2025-07,2,5,0,0,10,0,0,85,2,0.1346153846153846,0.2237354821624484
19,2025-08,0,4,0,0,14,0,0,91,3,0.1517857142857142,0.096499315508619
20,2025-09,0,4,0,0,7,0,0,42,5,0.2068965517241379,0.1418803418803419
21,2025-10,1,6,0,0,11,0,0,46,1,0.2,0.1963213213213213
22,2025-11,0,2,0,0,7,0,0,30,4,0.2558139534883721,0.17162471395881
23,2025-12,0,4,0,0,9,0,0,33,2,0.2291666666666666,0.1451269451269451
24,2026-01,0,8,0,0,15,0,0,120,6,0.1409395973154362,0.0935941695435366
25,2026-02,0,7,0,0,11,0,0,39,2,0.2203389830508474,0.1388508891928864
26,2026-03,0,2,0,0,4,0,0,34,3,0.1627906976744186,0.1106060606060606
