chunk_idx,timestamp,true_-1_pred_-1,true_-1_pred_0,true_-1_pred_1,true_0_pred_-1,true_0_pred_0,true_0_pred_1,true_1_pred_-1,true_1_pred_0,true_1_pred_1,accuracy,f1_macro
0,2024-01,0,3,0,0,9,0,1,46,3,0.1935483870967742,0.1272880878625739
1,2024-02,0,4,0,0,10,0,0,38,5,0.2631578947368421,0.1769713261648745
2,2024-03,0,3,0,0,9,0,0,38,6,0.2678571428571428,0.1816949152542373
3,2024-04,0,1,0,0,3,0,0,37,4,0.1555555555555555,0.1047138047138047
4,2024-05,0,1,0,0,6,0,0,28,0,0.1714285714285714,0.097560975609756
5,2024-06,0,0,0,0,5,0,0,28,0,0.1515151515151515,0.131578947368421
6,2024-07,1,2,0,2,5,0,0,32,2,0.1818181818181818,0.2206119162640901
7,2024-08,0,0,0,0,0,0,0,29,2,0.064516129032258,0.0606060606060606
8,2024-09,1,0,0,0,4,0,0,26,1,0.1875,0.4355742296918767
9,2024-10,0,1,0,0,4,0,0,31,2,0.1578947368421052,0.1047619047619047
10,2024-11,0,2,0,0,7,0,0,40,5,0.2222222222222222,0.15
11,2024-12,0,1,0,0,2,0,0,33,2,0.1052631578947368,0.0711237553342816
12,2025-01,0,2,0,0,7,0,0,45,0,0.1296296296296296,0.0765027322404371
13,2025-02,0,2,0,0,3,0,0,56,2,0.0793650793650793,0.0534722222222222
14,2025-03,0,6,0,0,5,0,0,55,0,0.0757575757575757,0.0469483568075117
15,2025-04,0,1,0,0,4,0,0,41,2,0.125,0.0829629629629629
16,2025-05,0,4,0,0,4,0,0,27,2,0.1621621621621621,0.1113868210642404
17,2025-06,0,0,0,0,1,0,0,24,2,0.1111111111111111,0.1098901098901098
18,2025-07,0,1,0,0,2,0,0,52,2,0.0701754385964912,0.0472013366750208
19,2025-08,0,1,0,1,5,0,0,32,1,0.15,0.0953654188948306
20,2025-09,0,5,0,0,10,0,0,30,2,0.2553191489361702,0.160427807486631
21,2025-10,0,2,0,0,3,0,0,43,4,0.1346153846153846,0.0915032679738562
22,2025-11,1,1,0,0,6,0,0,23,1,0.25,0.36
23,2025-12,1,4,0,1,9,0,0,32,3,0.26,0.2569605832763728
24,2026-01,0,4,0,0,14,0,0,56,0,0.1891891891891892,0.106060606060606
25,2026-02,0,2,0,1,7,1,0,52,0,0.1111111111111111,0.0666666666666666
26,2026-03,1,3,0,0,2,0,0,28,0,0.088235294117647,0.1714285714285714
