chunk_idx,timestamp,true_-1_pred_-1,true_-1_pred_0,true_-1_pred_1,true_0_pred_-1,true_0_pred_0,true_0_pred_1,true_1_pred_-1,true_1_pred_0,true_1_pred_1,accuracy,f1_macro
61,2020-04-12,52,13,1,4,4,1,41,107,98,0.4797507788161994,0.42155372473170233
62,2020-04-13,35,20,4,1,9,2,34,117,110,0.463855421686747,0.4133713620684884
63,2020-04-14,40,34,5,1,8,1,41,122,13,0.23018867924528302,0.24072725541990905
64,2020-04-15,20,13,0,1,7,0,63,94,21,0.2191780821917808,0.2225632388743024
65,2020-04-16,40,21,4,2,5,0,34,76,14,0.3010204081632653,0.28543403479414237
66,2020-04-17,57,88,3,4,6,0,43,91,17,0.2588996763754045,0.23758327442537966
67,2020-04-18,30,43,2,1,9,0,50,87,25,0.2591093117408907,0.25665700609772196
68,2020-04-19,49,27,3,2,10,0,57,104,15,0.27715355805243447,0.2698074335430309
69,2020-04-20,24,4,0,2,6,0,40,80,13,0.25443786982248523,0.27038982308166637
70,2020-04-21,38,21,0,1,7,1,39,74,14,0.30256410256410254,0.2926845834217069
71,2020-04-22,38,17,0,2,10,0,29,82,17,0.3333333333333333,0.33755841354182947
72,2020-04-23,41,27,0,0,12,2,24,46,11,0.39263803680981596,0.3643360496663968
73,2020-04-24,46,22,1,2,14,1,19,85,9,0.34673366834170855,0.3415101430941709
74,2020-04-25,34,13,1,0,8,1,28,82,17,0.32065217391304346,0.3313052244559094
75,2020-04-26,31,13,2,1,6,0,34,69,18,0.3160919540229885,0.31173545566042765
76,2020-04-27,19,8,1,1,6,0,40,72,12,0.23270440251572327,0.24534430721150757
77,2020-04-28,27,8,0,1,6,1,28,70,24,0.34545454545454546,0.350123996086729
78,2020-04-29,37,27,1,1,8,1,23,66,8,0.3081395348837209,0.29365948057536845
79,2020-04-30,28,14,2,2,12,0,12,52,15,0.40145985401459855,0.4081774519716886
80,2020-05-01,42,27,3,7,11,1,15,40,21,0.4431137724550898,0.42009758889776183
81,2020-05-02,37,11,0,1,16,2,15,43,28,0.5294117647058824,0.5249941499380469
82,2020-05-03,57,43,3,3,4,0,21,36,24,0.44502617801047123,0.38429951690821257
83,2020-05-04,31,29,0,2,13,0,18,46,14,0.3790849673202614,0.3717778563705115
84,2020-05-05,39,29,1,1,17,1,15,63,4,0.35294117647058826,0.3285221163245357
85,2020-05-06,55,29,3,6,6,1,21,52,9,0.38461538461538464,0.32012041939167446
86,2020-05-07,34,19,3,1,7,3,8,44,21,0.44285714285714284,0.4265693976805088
87,2020-05-08,23,30,1,1,10,0,14,42,11,0.3333333333333333,0.331178258699696
88,2020-05-09,41,23,2,0,5,1,10,40,10,0.42424242424242425,0.3699874795765206
89,2020-05-10,45,15,1,5,7,1,9,26,6,0.5043478260869565,0.40813538530166166
90,2020-05-11,47,27,0,4,10,1,9,42,4,0.4236111111111111,0.3491972760311916
91,2020-05-12,76,37,2,6,10,1,8,43,35,0.555045871559633,0.49763181050562394
92,2020-05-13,48,30,3,4,17,4,8,40,9,0.4539877300613497,0.4103326116223231
93,2020-05-14,54,38,1,4,9,4,18,46,8,0.3901098901098901,0.3303083040639602
94,2020-05-15,56,25,0,1,15,0,11,49,14,0.49707602339181284,0.4518579854150324
95,2020-05-16,152,63,5,10,24,0,25,52,8,0.5427728613569321,0.39588356681667985
96,2020-05-17,144,54,5,13,30,1,19,67,10,0.5364431486880467,0.4153860651222128
97,2020-05-18,65,30,0,27,38,6,11,34,12,0.515695067264574,0.47195733831571984
98,2020-05-19,54,13,0,9,33,4,9,34,15,0.5964912280701754,0.5634661102287001
99,2020-05-20,49,26,0,11,43,4,17,31,10,0.5340314136125655,0.48893947245046504
100,2020-05-21,55,14,0,12,17,1,9,34,6,0.527027027027027,0.4436003802609973
101,2020-05-22,31,18,0,4,21,0,14,34,7,0.4573643410852713,0.4290103138029406
102,2020-05-23,26,16,1,8,19,2,7,27,11,0.47863247863247865,0.4698371308540801
103,2020-05-24,39,10,1,12,20,4,5,21,9,0.5619834710743802,0.5209887034406041
104,2020-05-25,40,11,0,11,12,1,8,37,16,0.5,0.47441447441447443
105,2020-05-26,26,15,0,19,19,5,4,38,8,0.39552238805970147,0.38739360478490914
106,2020-05-27,34,15,1,15,28,0,11,36,7,0.46938775510204084,0.4343348877457815
107,2020-05-28,37,13,0,14,17,3,2,24,13,0.5447154471544715,0.5258458370108855
108,2020-05-29,35,16,0,7,32,2,10,24,6,0.553030303030303,0.49866111063378876
109,2020-05-30,31,23,0,8,22,2,9,18,3,0.4827586206896552,0.41414320114010517
110,2020-05-31,54,27,0,9,16,2,13,29,6,0.48717948717948717,0.40847204223000394
111,2020-06-01,44,19,0,12,19,2,13,23,4,0.49264705882352944,0.4149450097646212
112,2020-06-02,29,20,0,8,24,1,9,29,1,0.4462809917355372,0.3707123307578657
113,2020-06-03,46,20,1,9,25,3,16,37,5,0.4691358024691358,0.4120294884122803
114,2020-06-04,45,15,3,16,31,4,17,31,4,0.4819277108433735,0.4165523331081842
115,2020-06-05,34,24,0,9,22,3,10,43,11,0.42948717948717946,0.4174624906332223
116,2020-06-06,52,18,0,4,29,0,6,25,14,0.6418918918918919,0.604945337148727
117,2020-06-07,29,14,1,11,18,1,7,35,15,0.4732824427480916,0.4713006877955332
118,2020-06-08,68,16,0,9,16,3,8,38,3,0.5403726708074534,0.413451749715486
119,2020-06-09,41,20,0,8,12,2,17,27,3,0.4307692307692308,0.3524500676731648
120,2020-06-10,31,21,2,5,20,0,9,39,8,0.43703703703703706,0.41654641654641655
121,2020-06-11,24,12,0,5,19,2,6,33,4,0.44761904761904764,0.4205146221242801
122,2020-06-12,30,8,1,11,27,3,8,39,5,0.4696969696969697,0.43843927514633146
123,2020-06-13,31,9,1,2,26,1,4,11,8,0.6989247311827957,0.6576845376845376
124,2020-06-14,20,13,1,3,16,2,4,21,6,0.4883720930232558,0.46881397675671516
125,2020-06-15,10,11,1,2,14,3,7,26,2,0.34210526315789475,0.3284552845528455
126,2020-06-16,11,10,0,2,11,0,5,24,6,0.4057971014492754,0.4120319452531395
127,2020-06-17,21,10,0,4,16,0,7,14,12,0.5833333333333334,0.5777777777777778
128,2020-06-18,20,13,0,4,18,6,8,21,4,0.44680851063829785,0.41714370900417413
129,2020-06-19,17,3,0,5,17,2,9,22,6,0.49382716049382713,0.4828282828282828
130,2020-06-20,18,6,1,6,20,0,9,13,0,0.5205479452054794,0.412024756852343
131,2020-06-21,28,24,2,16,27,3,3,16,2,0.47107438016528924,0.39172956486546257
132,2020-06-22,21,12,0,11,26,2,7,15,2,0.5104166666666666,0.4304692891649413
133,2020-06-23,31,6,1,7,17,0,4,17,7,0.6111111111111112,0.5650462962962962
134,2020-06-24,10,9,0,7,14,1,9,29,6,0.35294117647058826,0.35270564682329386
135,2020-06-25,27,13,0,9,18,0,2,21,5,0.5263157894736842,0.48367806595654694
136,2020-06-26,25,7,0,2,5,1,4,10,4,0.5862068965517241,0.4916034046468829
137,2020-06-27,21,9,0,4,11,1,3,20,1,0.4714285714285714,0.39797271693823416
138,2020-06-28,36,9,3,4,13,2,4,16,4,0.5824175824175825,0.4937244296512031
139,2020-06-29,20,6,0,4,14,3,7,13,4,0.5352112676056338,0.49277914020415436
140,2020-06-30,17,4,0,3,22,2,2,28,8,0.5465116279069767,0.5557469614317159
141,2020-07-01,19,13,0,6,12,1,8,14,0,0.4246575342465753,0.3328028293545535
142,2020-07-02,18,8,0,6,9,2,3,16,7,0.4927536231884058,0.479748427672956
143,2020-07-03,26,10,0,3,18,2,1,26,4,0.5333333333333333,0.4905424905424905
144,2020-07-04,41,5,1,6,10,0,2,22,7,0.6170212765957447,0.5301665054023544
145,2020-07-05,11,8,0,6,16,0,7,4,2,0.5370370370370371,0.472764857881137
146,2020-07-06,17,11,0,3,5,4,4,10,8,0.4838709677419355,0.4625307612923712
147,2020-07-07,22,12,0,2,11,1,7,10,1,0.5151515151515151,0.41500272776868524
148,2020-07-08,13,3,0,6,13,0,2,14,4,0.5454545454545454,0.522216093644665
149,2020-07-09,14,4,0,4,12,1,2,16,0,0.49056603773584906,0.4088793412101683
150,2020-07-10,11,4,1,6,9,1,0,6,4,0.5714285714285714,0.5603174603174602
151,2020-07-11,20,3,0,8,20,3,2,19,4,0.5569620253164557,0.5175540622038425
152,2020-07-12,11,6,0,6,12,0,5,5,16,0.639344262295082,0.6371243932219541
153,2020-07-13,10,5,0,4,7,1,7,35,12,0.35802469135802467,0.38368421545755216
154,2020-07-14,12,8,0,7,12,0,5,10,2,0.4642857142857143,0.41525892653712204
155,2020-07-15,10,7,0,7,13,0,6,12,4,0.4576271186440678,0.4358974358974359
156,2020-07-16,15,4,2,3,2,1,4,10,5,0.4782608695652174,0.41662099026440114
157,2020-07-17,16,12,1,1,7,0,4,25,8,0.4189189189189189,0.41901895206243034
158,2020-07-18,9,0,0,3,6,1,6,6,6,0.5675675675675675,0.564040404040404
159,2020-07-19,24,2,1,2,6,1,8,19,3,0.5,0.43054905022118134
160,2020-07-20,16,11,0,1,7,1,6,23,6,0.4084507042253521,0.40190476190476193
161,2020-07-21,15,8,3,3,6,0,3,16,6,0.45,0.4329771188344405
162,2020-07-22,21,5,0,3,7,2,5,14,2,0.5084745762711864,0.4306858054226475
163,2020-07-23,22,11,0,1,7,0,6,9,2,0.5344827586206896,0.44006791171477083
164,2020-07-24,22,13,0,3,15,0,6,11,4,0.5540540540540541,0.504327485380117
165,2020-07-25,23,5,0,4,2,0,1,6,2,0.627906976744186,0.4651970836181363
166,2020-07-26,19,6,0,5,7,0,2,9,2,0.56,0.47450980392156855
167,2020-07-27,40,10,3,8,7,2,3,11,3,0.5747126436781609,0.44011396011396015
168,2020-07-28,24,11,0,3,9,1,5,13,4,0.5285714285714286,0.4680061848567148
169,2020-07-29,40,11,2,2,2,0,3,9,4,0.6301369863013698,0.4446030160315875
170,2020-07-30,32,8,1,8,13,4,9,17,3,0.5052631578947369,0.4286572286572287
171,2020-07-31,42,13,0,5,12,2,13,15,3,0.5428571428571428,0.43462703676410386
172,2020-08-01,20,3,0,3,8,0,2,7,0,0.6511627906976745,0.4616858237547892
173,2020-08-02,38,10,1,2,14,1,5,19,7,0.6082474226804123,0.541725768321513
174,2020-08-03,25,13,1,4,15,1,4,23,7,0.5053763440860215,0.4808536836869625
175,2020-08-04,38,9,0,1,12,0,9,30,5,0.5288461538461539,0.4596938775510204
176,2020-08-05,32,8,0,6,6,1,3,13,2,0.5633802816901409,0.4268665490887713
177,2020-08-06,23,11,0,3,8,0,7,13,4,0.5072463768115942,0.448124824383068
178,2020-08-07,33,8,0,5,18,1,8,25,5,0.5436893203883495,0.48863113897596655
179,2020-08-08,22,13,1,1,9,1,13,29,5,0.3829787234042553,0.3622062923138192
180,2020-08-09,26,7,0,8,19,1,5,14,9,0.6067415730337079,0.5849099873867675
181,2020-08-10,47,6,0,9,21,4,3,20,2,0.625,0.4956121636229163
182,2020-08-11,34,7,0,9,13,2,5,48,11,0.4496124031007752,0.44412264172889476
183,2020-08-12,34,18,1,11,17,1,6,15,6,0.5229357798165137,0.4756943478462466
184,2020-08-13,39,9,0,12,19,2,5,23,4,0.5486725663716814,0.470969089390142
185,2020-08-14,32,8,1,10,10,0,10,33,5,0.43119266055045874,0.3850157896803361
186,2020-08-15,26,4,0,7,12,0,10,21,7,0.5172413793103449,0.4840037689352758
187,2020-08-16,25,9,1,10,14,3,6,24,4,0.4479166666666667,0.40891643523222476
188,2020-08-17,34,12,1,13,19,5,7,23,10,0.5080645161290323,0.4826642004859827
189,2020-08-18,34,13,0,5,12,0,3,22,4,0.5376344086021505,0.46048972874815575
190,2020-08-19,20,12,2,3,11,1,3,9,2,0.5238095238095238,0.4484260296130396
191,2020-08-20,20,13,0,5,21,0,4,27,9,0.5050505050505051,0.498422283262582
192,2020-08-21,37,15,0,5,18,1,4,47,15,0.49295774647887325,0.4890365151689193
